n;P+;R+;Time;Date
1;0,1520;0,0000;00:30;01.12.2020
2;0,1520;0,0000;01:00;01.12.2020
3;0,1510;0,0000;01:30;01.12.2020
4;0,1530;0,0000;02:00;01.12.2020
5;0,1520;0,0000;02:30;01.12.2020
6;0,1510;0,0000;03:00;01.12.2020
7;0,1500;0,0000;03:30;01.12.2020
8;0,1490;0,0000;04:00;01.12.2020
9;0,1500;0,0000;04:30;01.12.2020
10;0,1480;0,0000;05:00;01.12.2020
11;0,1500;0,0000;05:30;01.12.2020
12;0,1510;0,0000;06:00;01.12.2020
13;0,1560;0,0000;06:30;01.12.2020
14;0,1560;0,0000;07:00;01.12.2020
15;0,1840;0,0000;07:30;01.12.2020
16;0,2210;0,0000;08:00;01.12.2020
17;0,2320;0,0000;08:30;01.12.2020
18;0,2470;0,0000;09:00;01.12.2020
19;0,2610;0,0000;09:30;01.12.2020
20;0,2860;0,0000;10:00;01.12.2020
21;0,2860;0,0000;10:30;01.12.2020
22;0,2880;0,0000;11:00;01.12.2020
23;0,2810;0,0000;11:30;01.12.2020
24;0,2580;0,0000;12:00;01.12.2020
25;0,2780;0,0000;12:30;01.12.2020
26;0,2670;0,0000;13:00;01.12.2020
27;0,2710;0,0000;13:30;01.12.2020
28;0,2720;0,0000;14:00;01.12.2020
29;0,2820;0,0000;14:30;01.12.2020
30;0,2660;0,0000;15:00;01.12.2020
31;0,2650;0,0000;15:30;01.12.2020
32;0,2470;0,0000;16:00;01.12.2020
33;0,2250;0,0000;16:30;01.12.2020
34;0,2200;0,0000;17:00;01.12.2020
35;0,2200;0,0000;17:30;01.12.2020
36;0,2170;0,0000;18:00;01.12.2020
37;0,2160;0,0000;18:30;01.12.2020
38;0,2120;0,0000;19:00;01.12.2020
39;0,2110;0,0000;19:30;01.12.2020
40;0,2070;0,0000;20:00;01.12.2020
41;0,2050;0,0000;20:30;01.12.2020
42;0,1970;0,0000;21:00;01.12.2020
43;0,1800;0,0000;21:30;01.12.2020
44;0,1790;0,0000;22:00;01.12.2020
45;0,1770;0,0000;22:30;01.12.2020
46;0,1730;0,0000;23:00;01.12.2020
47;0,1710;0,0000;23:30;01.12.2020
48;0,1710;0,0000;00:00;02.12.2020
49;0,1700;0,0000;00:30;02.12.2020
50;0,1690;0,0000;01:00;02.12.2020
51;0,1690;0,0000;01:30;02.12.2020
52;0,1700;0,0000;02:00;02.12.2020
53;0,1660;0,0000;02:30;02.12.2020
54;0,1660;0,0000;03:00;02.12.2020
55;0,1690;0,0000;03:30;02.12.2020
56;0,1680;0,0000;04:00;02.12.2020
57;0,1650;0,0000;04:30;02.12.2020
58;0,1660;0,0000;05:00;02.12.2020
59;0,1690;0,0000;05:30;02.12.2020
60;0,1680;0,0000;06:00;02.12.2020
61;0,1660;0,0000;06:30;02.12.2020
62;0,1720;0,0000;07:00;02.12.2020
63;0,1980;0,0000;07:30;02.12.2020
64;0,2180;0,0000;08:00;02.12.2020
65;0,2280;0,0000;08:30;02.12.2020
66;0,2450;0,0000;09:00;02.12.2020
67;0,2730;0,0000;09:30;02.12.2020
68;0,2660;0,0000;10:00;02.12.2020
69;0,2810;0,0000;10:30;02.12.2020
70;0,2730;0,0000;11:00;02.12.2020
71;0,2850;0,0000;11:30;02.12.2020
72;0,2580;0,0000;12:00;02.12.2020
73;0,2640;0,0000;12:30;02.12.2020
74;0,2620;0,0000;13:00;02.12.2020
75;0,2790;0,0000;13:30;02.12.2020
76;0,2570;0,0000;14:00;02.12.2020
77;0,2600;0,0000;14:30;02.12.2020
78;0,2520;0,0000;15:00;02.12.2020
79;0,2630;0,0000;15:30;02.12.2020
80;0,2330;0,0000;16:00;02.12.2020
81;0,2280;0,0000;16:30;02.12.2020
82;0,2230;0,0000;17:00;02.12.2020
83;0,2210;0,0000;17:30;02.12.2020
84;0,2240;0,0000;18:00;02.12.2020
85;0,2200;0,0000;18:30;02.12.2020
86;0,2170;0,0000;19:00;02.12.2020
87;0,2140;0,0000;19:30;02.12.2020
88;0,2120;0,0000;20:00;02.12.2020
89;0,2080;0,0000;20:30;02.12.2020
90;0,2030;0,0000;21:00;02.12.2020
91;0,1820;0,0000;21:30;02.12.2020
92;0,1770;0,0000;22:00;02.12.2020
93;0,1750;0,0000;22:30;02.12.2020
94;0,1710;0,0000;23:00;02.12.2020
95;0,1700;0,0000;23:30;02.12.2020
96;0,1610;0,0000;00:00;03.12.2020
97;0,1550;0,0000;00:30;03.12.2020
98;0,1540;0,0000;01:00;03.12.2020
99;0,1530;0,0000;01:30;03.12.2020
100;0,1480;0,0000;02:00;03.12.2020
101;0,1470;0,0000;02:30;03.12.2020
102;0,1490;0,0000;03:00;03.12.2020
103;0,1470;0,0000;03:30;03.12.2020
104;0,1460;0,0000;04:00;03.12.2020
105;0,1460;0,0000;04:30;03.12.2020
106;0,1460;0,0000;05:00;03.12.2020
107;0,1550;0,0000;05:30;03.12.2020
108;0,1440;0,0000;06:00;03.12.2020
109;0,1550;0,0000;06:30;03.12.2020
110;0,1570;0,0000;07:00;03.12.2020
111;0,1820;0,0000;07:30;03.12.2020
112;0,2070;0,0000;08:00;03.12.2020
113;0,2090;0,0000;08:30;03.12.2020
114;0,2300;0,0000;09:00;03.12.2020
115;0,2570;0,0000;09:30;03.12.2020
116;0,2740;0,0000;10:00;03.12.2020
117;0,2750;0,0000;10:30;03.12.2020
118;0,2850;0,0000;11:00;03.12.2020
119;0,2800;0,0000;11:30;03.12.2020
120;0,2770;0,0000;12:00;03.12.2020
121;0,2760;0,0000;12:30;03.12.2020
122;0,2710;0,0000;13:00;03.12.2020
123;0,2680;0,0000;13:30;03.12.2020
124;0,2680;0,0000;14:00;03.12.2020
125;0,2690;0,0000;14:30;03.12.2020
126;0,2500;0,0000;15:00;03.12.2020
127;0,2490;0,0000;15:30;03.12.2020
128;0,2380;0,0000;16:00;03.12.2020
129;0,2200;0,0000;16:30;03.12.2020
130;0,2160;0,0000;17:00;03.12.2020
131;0,2130;0,0000;17:30;03.12.2020
132;0,2130;0,0000;18:00;03.12.2020
133;0,2120;0,0000;18:30;03.12.2020
134;0,2090;0,0000;19:00;03.12.2020
135;0,2060;0,0000;19:30;03.12.2020
136;0,2040;0,0000;20:00;03.12.2020
137;0,2000;0,0000;20:30;03.12.2020
138;0,1960;0,0000;21:00;03.12.2020
139;0,1730;0,0000;21:30;03.12.2020
140;0,1690;0,0000;22:00;03.12.2020
141;0,1680;0,0000;22:30;03.12.2020
142;0,1660;0,0000;23:00;03.12.2020
143;0,1640;0,0000;23:30;03.12.2020
144;0,1630;0,0000;00:00;04.12.2020
145;0,1610;0,0000;00:30;04.12.2020
146;0,1610;0,0000;01:00;04.12.2020
147;0,1610;0,0000;01:30;04.12.2020
148;0,1610;0,0000;02:00;04.12.2020
149;0,1580;0,0000;02:30;04.12.2020
150;0,1590;0,0000;03:00;04.12.2020
151;0,1610;0,0000;03:30;04.12.2020
152;0,1600;0,0000;04:00;04.12.2020
153;0,1590;0,0000;04:30;04.12.2020
154;0,1570;0,0000;05:00;04.12.2020
155;0,1570;0,0000;05:30;04.12.2020
156;0,1580;0,0000;06:00;04.12.2020
157;0,1620;0,0000;06:30;04.12.2020
158;0,1660;0,0000;07:00;04.12.2020
159;0,2030;0,0000;07:30;04.12.2020
160;0,2170;0,0000;08:00;04.12.2020
161;0,2180;0,0000;08:30;04.12.2020
162;0,2400;0,0000;09:00;04.12.2020
163;0,2640;0,0000;09:30;04.12.2020
164;0,2900;0,0000;10:00;04.12.2020
165;0,2800;0,0000;10:30;04.12.2020
166;0,2840;0,0000;11:00;04.12.2020
167;0,2810;0,0000;11:30;04.12.2020
168;0,2690;0,0000;12:00;04.12.2020
169;0,2610;0,0000;12:30;04.12.2020
170;0,2650;0,0000;13:00;04.12.2020
171;0,2700;0,0000;13:30;04.12.2020
172;0,2700;0,0000;14:00;04.12.2020
173;0,2620;0,0000;14:30;04.12.2020
174;0,2660;0,0000;15:00;04.12.2020
175;0,2410;0,0000;15:30;04.12.2020
176;0,2300;0,0000;16:00;04.12.2020
177;0,2160;0,0000;16:30;04.12.2020
178;0,2110;0,0000;17:00;04.12.2020
179;0,2120;0,0000;17:30;04.12.2020
180;0,2070;0,0000;18:00;04.12.2020
181;0,2050;0,0000;18:30;04.12.2020
182;0,2000;0,0000;19:00;04.12.2020
183;0,1970;0,0000;19:30;04.12.2020
184;0,1950;0,0000;20:00;04.12.2020
185;0,1900;0,0000;20:30;04.12.2020
186;0,1860;0,0000;21:00;04.12.2020
187;0,1630;0,0000;21:30;04.12.2020
188;0,1600;0,0000;22:00;04.12.2020
189;0,1600;0,0000;22:30;04.12.2020
190;0,1590;0,0000;23:00;04.12.2020
191;0,1560;0,0000;23:30;04.12.2020
192;0,1530;0,0000;00:00;05.12.2020
193;0,1520;0,0000;00:30;05.12.2020
194;0,1540;0,0000;01:00;05.12.2020
195;0,1520;0,0000;01:30;05.12.2020
196;0,1500;0,0000;02:00;05.12.2020
197;0,1520;0,0000;02:30;05.12.2020
198;0,1530;0,0000;03:00;05.12.2020
199;0,1510;0,0000;03:30;05.12.2020
200;0,1510;0,0000;04:00;05.12.2020
201;0,1500;0,0000;04:30;05.12.2020
202;0,1500;0,0000;05:00;05.12.2020
203;0,1490;0,0000;05:30;05.12.2020
204;0,1510;0,0000;06:00;05.12.2020
205;0,1480;0,0000;06:30;05.12.2020
206;0,1520;0,0000;07:00;05.12.2020
207;0,1530;0,0000;07:30;05.12.2020
208;0,1530;0,0000;08:00;05.12.2020
209;0,1550;0,0000;08:30;05.12.2020
210;0,1640;0,0000;09:00;05.12.2020
211;0,1840;0,0000;09:30;05.12.2020
212;0,1920;0,0000;10:00;05.12.2020
213;0,1910;0,0000;10:30;05.12.2020
214;0,1930;0,0000;11:00;05.12.2020
215;0,1950;0,0000;11:30;05.12.2020
216;0,1970;0,0000;12:00;05.12.2020
217;0,1970;0,0000;12:30;05.12.2020
218;0,1980;0,0000;13:00;05.12.2020
219;0,2030;0,0000;13:30;05.12.2020
220;0,1950;0,0000;14:00;05.12.2020
221;0,1970;0,0000;14:30;05.12.2020
222;0,1970;0,0000;15:00;05.12.2020
223;0,1950;0,0000;15:30;05.12.2020
224;0,1890;0,0000;16:00;05.12.2020
225;0,1710;0,0000;16:30;05.12.2020
226;0,1960;0,0000;17:00;05.12.2020
227;0,1850;0,0000;17:30;05.12.2020
228;0,1740;0,0000;18:00;05.12.2020
229;0,1760;0,0000;18:30;05.12.2020
230;0,1730;0,0000;19:00;05.12.2020
231;0,1740;0,0000;19:30;05.12.2020
232;0,1760;0,0000;20:00;05.12.2020
233;0,1690;0,0000;20:30;05.12.2020
234;0,1700;0,0000;21:00;05.12.2020
235;0,1620;0,0000;21:30;05.12.2020
236;0,1620;0,0000;22:00;05.12.2020
237;0,1610;0,0000;22:30;05.12.2020
238;0,1580;0,0000;23:00;05.12.2020
239;0,1490;0,0000;23:30;05.12.2020
240;0,1520;0,0000;00:00;06.12.2020
241;0,1510;0,0000;00:30;06.12.2020
