n;P+;R+;Time;Date
1;0,3760;0,0750;00:30;01.12.2020
2;0,3870;0,0780;01:00;01.12.2020
3;0,3790;0,0780;01:30;01.12.2020
4;0,3860;0,0820;02:00;01.12.2020
5;0,3870;0,0800;02:30;01.12.2020
6;0,3810;0,0770;03:00;01.12.2020
7;0,3810;0,0750;03:30;01.12.2020
8;0,3820;0,0760;04:00;01.12.2020
9;0,3860;0,0790;04:30;01.12.2020
10;0,3850;0,0790;05:00;01.12.2020
11;0,3870;0,0740;05:30;01.12.2020
12;0,3730;0,0750;06:00;01.12.2020
13;0,3850;0,0720;06:30;01.12.2020
14;0,3930;0,0720;07:00;01.12.2020
15;0,4670;0,0790;07:30;01.12.2020
16;0,4550;0,0720;08:00;01.12.2020
17;0,4640;0,0860;08:30;01.12.2020
18;0,4600;0,0860;09:00;01.12.2020
19;0,4720;0,0880;09:30;01.12.2020
20;0,4650;0,0840;10:00;01.12.2020
21;0,4620;0,0800;10:30;01.12.2020
22;0,4670;0,0870;11:00;01.12.2020
23;0,4730;0,0860;11:30;01.12.2020
24;0,4700;0,0860;12:00;01.12.2020
25;0,4680;0,0870;12:30;01.12.2020
26;0,4750;0,0920;13:00;01.12.2020
27;0,4730;0,0890;13:30;01.12.2020
28;0,4770;0,0900;14:00;01.12.2020
29;0,4680;0,0880;14:30;01.12.2020
30;0,4700;0,0860;15:00;01.12.2020
31;0,4730;0,0920;15:30;01.12.2020
32;0,4660;0,0930;16:00;01.12.2020
33;0,4540;0,0890;16:30;01.12.2020
34;0,4590;0,0930;17:00;01.12.2020
35;0,4690;0,0940;17:30;01.12.2020
36;0,4640;0,0910;18:00;01.12.2020
37;0,4590;0,0910;18:30;01.12.2020
38;0,4610;0,0920;19:00;01.12.2020
39;0,4550;0,0890;19:30;01.12.2020
40;0,4600;0,0920;20:00;01.12.2020
41;0,4570;0,0890;20:30;01.12.2020
42;0,4630;0,0930;21:00;01.12.2020
43;0,4580;0,0920;21:30;01.12.2020
44;0,4460;0,0970;22:00;01.12.2020
45;0,3910;0,0870;22:30;01.12.2020
