n;P+;R+;Time;Date
1;102,00;32,16;00:30;06.12.2020
2;103,00;32,16;01:00;06.12.2020
3;102,00;29,28;01:30;06.12.2020
4;105,00;27,84;02:00;06.12.2020
5;105,00;28,32;02:30;06.12.2020
6;102,00;28,32;03:00;06.12.2020
7;103,00;28,80;03:30;06.12.2020
8;102,00;28,80;04:00;06.12.2020
9;105,00;29,76;04:30;06.12.2020
10;103,00;29,76;05:00;06.12.2020
11;102,00;29,76;05:30;06.12.2020
12;105,00;28,80;06:00;06.12.2020
13;102,00;27,84;06:30;06.12.2020
14;105,00;30,72;07:00;06.12.2020
15;106,00;32,16;07:30;06.12.2020
16;107,00;30,24;08:00;06.12.2020
17;107,00;28,32;08:30;06.12.2020
18;112,00;28,32;09:00;06.12.2020
19;116,00;27,36;09:30;06.12.2020
20;118,00;27,36;10:00;06.12.2020
21;116,00;29,28;10:30;06.12.2020
22;117,00;29,76;11:00;06.12.2020
23;113,00;29,28;11:30;06.12.2020
24;108,00;28,80;12:00;06.12.2020
25;109,00;26,40;12:30;06.12.2020
26;108,00;24,48;13:00;06.12.2020
27;108,00;24,00;13:30;06.12.2020
28;109,00;25,44;14:00;06.12.2020
29;109,00;28,32;14:30;06.12.2020
30;107,00;28,32;15:00;06.12.2020
31;107,00;30,24;15:30;06.12.2020
32;107,00;28,32;16:00;06.12.2020
33;108,00;29,28;16:30;06.12.2020
34;110,00;30,24;17:00;06.12.2020
35;113,00;31,20;17:30;06.12.2020
36;113,00;31,68;18:00;06.12.2020
37;112,00;31,68;18:30;06.12.2020
38;113,00;33,60;19:00;06.12.2020
39;112,00;30,24;19:30;06.12.2020
40;110,00;31,20;20:00;06.12.2020
41;112,00;32,16;20:30;06.12.2020
42;110,00;30,72;21:00;06.12.2020
43;112,00;30,72;21:30;06.12.2020
44;109,00;31,68;22:00;06.12.2020
45;110,00;33,60;22:30;06.12.2020
46;112,00;33,60;23:00;06.12.2020
47;111,00;32,64;23:30;06.12.2020
48;109,00;34,08;00:00;07.12.2020
49;111,00;34,08;00:30;07.12.2020
50;112,00;30,72;01:00;07.12.2020
51;109,00;31,68;01:30;07.12.2020
52;109,00;32,16;02:00;07.12.2020
53;111,00;32,16;02:30;07.12.2020
54;110,00;31,20;03:00;07.12.2020
55;109,00;31,20;03:30;07.12.2020
56;110,00;30,72;04:00;07.12.2020
57;110,00;31,68;04:30;07.12.2020
58;109,00;31,68;05:00;07.12.2020
59;114,00;31,20;05:30;07.12.2020
60;118,00;30,72;06:00;07.12.2020
61;150,00;30,24;06:30;07.12.2020
62;156,00;29,76;07:00;07.12.2020
63;156,00;30,24;07:30;07.12.2020
64;165,00;29,76;08:00;07.12.2020
65;170,00;29,76;08:30;07.12.2020
66;181,00;28,80;09:00;07.12.2020
67;186,00;28,32;09:30;07.12.2020
68;200,00;30,72;10:00;07.12.2020
69;201,00;29,76;10:30;07.12.2020
70;203,00;29,28;11:00;07.12.2020
71;205,00;28,80;11:30;07.12.2020
72;200,00;30,24;12:00;07.12.2020
73;211,00;31,20;12:30;07.12.2020
74;210,00;31,68;13:00;07.12.2020
75;209,00;30,72;13:30;07.12.2020
76;203,00;30,72;14:00;07.12.2020
77;199,00;30,72;14:30;07.12.2020
78;192,00;30,72;15:00;07.12.2020
79;190,00;31,20;15:30;07.12.2020
80;192,00;31,20;16:00;07.12.2020
81;189,00;31,20;16:30;07.12.2020
82;188,00;29,76;17:00;07.12.2020
83;189,00;29,76;17:30;07.12.2020
84;185,00;30,24;18:00;07.12.2020
85;182,00;30,24;18:30;07.12.2020
86;172,00;29,76;19:00;07.12.2020
87;171,00;30,24;19:30;07.12.2020
88;152,00;31,68;20:00;07.12.2020
89;140,00;30,72;20:30;07.12.2020
90;139,00;30,72;21:00;07.12.2020
91;134,00;30,72;21:30;07.12.2020
92;131,00;31,68;22:00;07.12.2020
93;128,00;32,64;22:30;07.12.2020
94;123,00;33,60;23:00;07.12.2020
95;122,00;31,68;23:30;07.12.2020
96;120,00;31,20;00:00;08.12.2020
97;108,00;31,20;00:30;08.12.2020
98;106,00;30,72;01:00;08.12.2020
99;106,00;31,20;01:30;08.12.2020
100;105,00;32,16;02:00;08.12.2020
101;106,00;31,20;02:30;08.12.2020
102;106,00;32,16;03:00;08.12.2020
103;106,00;31,68;03:30;08.12.2020
104;106,00;32,64;04:00;08.12.2020
105;107,00;32,16;04:30;08.12.2020
106;107,00;32,16;05:00;08.12.2020
107;108,00;31,68;05:30;08.12.2020
108;108,00;31,68;06:00;08.12.2020
109;137,00;31,20;06:30;08.12.2020
110;144,00;31,20;07:00;08.12.2020
111;150,00;31,20;07:30;08.12.2020
112;160,00;30,72;08:00;08.12.2020
113;164,00;30,24;08:30;08.12.2020
114;177,00;29,76;09:00;08.12.2020
115;182,00;32,64;09:30;08.12.2020
116;181,00;35,52;10:00;08.12.2020
117;182,00;35,52;10:30;08.12.2020
118;188,00;34,56;11:00;08.12.2020
119;191,00;34,56;11:30;08.12.2020
120;204,00;35,52;12:00;08.12.2020
121;207,00;36,48;12:30;08.12.2020
122;210,00;35,52;13:00;08.12.2020
123;212,00;36,00;13:30;08.12.2020
124;208,00;36,00;14:00;08.12.2020
125;208,00;36,48;14:30;08.12.2020
126;208,00;37,44;15:00;08.12.2020
127;209,00;36,48;15:30;08.12.2020
128;208,00;36,00;16:00;08.12.2020
129;202,00;36,00;16:30;08.12.2020
130;200,00;35,52;17:00;08.12.2020
131;200,00;33,12;17:30;08.12.2020
