№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Братск, ул. Ленина, д.35;01.01.2021;;;144;UTC+3;1;0;0;0;Байкальский банк
;;г. Иркутск, ул. Нижняя Набережная , д.10;01.01.2021;;;144;UTC+3;1;0;0;0;Байкальский банк
;;г. Иркутск, ул. Пискунова, д.122б;01.01.2021;;;144;UTC+3;1;0;0;0;Байкальский банк
;;г. Иркутск, ул. Челябинская , д.26а;01.01.2021;;;144;UTC+3;1;0;0;0;Байкальский банк
;;г. Усолье-Сибирское, ул. Орджоникидзе, д. 31;01.01.2021;;;144;UTC+3;1;0;0;0;Байкальский банк
