№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Екатеринбург, ул. Горького, д. 67/69;01.01.2021;;;144;UTC+3;1;0;0;0;Уральский банк
;;г. Екатеринбург, ул. Кислородная, д.8;01.01.2021;;;144;UTC+3;1;0;0;0;Уральский банк
;;г. Екатеринбург, ул. Куйбышева, д.67;01.01.2021;;;144;UTC+3;1;0;0;0;Уральский банк
;;г. Тюмень, ул. Мельникайте, д. 54;01.01.2021;;;144;UTC+3;1;0;0;0;Уральский банк
;;г. Тюмень, ул. Профсоюзная, д.52;01.01.2021;;;144;UTC+3;1;0;0;0;Уральский банк
;;г. Тюмень, ул. Рижская, д.61;01.01.2021;;;144;UTC+3;1;0;0;0;Уральский банк
;;г. Уфа, ул. Рихарда Зорге, д.5;01.01.2021;;;144;UTC+3;1;0;0;0;Уральский банк
