№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Ейск, ул. Армавирская, д.46;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
;;г. Каменск-Шахтинский, ул. Карла Маркса, д.9;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
;;г. Краснодар, ул. Красноармейская, д.34, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
;;г. Ростов-на-Дону, пер. Братский, д.41;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
;;г. Ростов-на-Дону, ул. Евдокимова, д.37;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
;;г. Ставрополь, пр-т Кулакова, д.7;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
;;г. Ставрополь, ул. Ленина, д.221;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
;;г. Ставрополь, ул. Ленина, д.361;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
;;г. Таганрог, ул. Октябрьская, д.39;01.01.2021;;;144;UTC+3;1;0;0;0;Юго-Западный банк
