№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Сальдо;Каталог
42;г. Ярославль;г. Ярославль, ул. Советская, д.34;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
43;г. Саратов;г. Саратов, ул. Вавилова, д.1/7;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
44;г. Ставрополь;г. Ставрополь, ул. Ленина, д.361;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
45;г. Самара;г. Самара, ш. Московское, д.15;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
46;г. Омск;г. Омск, ул. Звездова, д.101а;01.01.2021;;;7;UTC+3;1;1;0;0;0;ОРЭМ
47;г. Санкт-Петербург;г. Санкт-Петербург, ул. Красного текстильщика, д.2;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
48;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Невский, д.99/101;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
49;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Шафировский, д.2аб;01.01.2021;;;7;UTC+3;1;1;0;0;0;ОРЭМ
50;г. Тюмень;г. Тюмень, ул. Мельникайте, д. 54;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
51;г. Тюмень;г. Тюмень, ул. Рижская, д.61;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
52;г. Екатеринбург;г. Екатеринбург, ул. Куйбышева, д.67;01.01.2021;;;7;UTC+3;1;1;0;0;1;ОРЭМ
53;г. Нижний Новгород;г. Нижний Новгород, ул. Академика Сахарова, д.2;01.01.2021;;;7;UTC+3;1;1;0;0;1;ОРЭМ
54;г. Нижний Новгород;г. Нижний Новгород, ул. Керченская , д.18;01.01.2021;;;7;UTC+3;1;0;0;0;1;ОРЭМ
