№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
;;ш. Очаковское, д.15, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Чонгарский, д.22, к.1 (Доп. офис №7813/770);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Вернадского, д.11/19;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.7 стр.3а (Доп. офис №7813/042);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.22;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.32;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.34/1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.45;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.52 (Доп. офис №7813/697) (юр.лица);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.52 (физ.лица);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.62/1 (Доп. офис №7813/1583);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.68/10;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.68/10;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.72/2 (Доп. офис №7813/522);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.73/8 (Доп. офис №7813/1140);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.82/2 (Доп. офис №7813/750);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.82/2 (самообслуж.);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.93 (Доп. офис №7813/785);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Нахимовский, д.22 (Доп. офис №7813/1402);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Новоясеневский д.16, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Новоясеневский, д.12/1 (просп.Новоясеневский  12/1);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Новоясеневский, д.32, к.1 (Доп. офис №7813/1421);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. 60-летия Октября, д.19 (Доп. офис №7813/1661);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Айвазовского, д.1А (Доп. офис №7813/1442);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Академика Арцимовича, 8 (Доп. офис №7813/1172);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Академика Бакулева, д.2 (Доп. офис №7813/1422);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Академика Варги, д.22А (Доп. офис №7813/1378);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Академика Виноградова, д.4, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Академика Челомея, д.4Б (Доп. офис №7813/1480);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Архитектора Власова, д.39 (Доп. офис №7813/1194);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Б. Якиманка, д.22, к.3;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Б.Полянка, д.61, стр.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Б.Якиманка, д.18;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Болотниковская, д. 21/1 (Доп. офис №7813/1638);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Бутлерова, д.24 (Доп. офис №7813/1257);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Бутлерова, д.30А (Доп. офис №7813/1697);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Вавилова, д.91, корп.1 (Доп. офис №7813/1418);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Генерала Тюленева, д. 9 (Доп. офис №7813/1364);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Голубинская, 32/2 ( Доп. офис №7813/1432);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Голубинская, д. 24, корп. 1 (Доп. офис №7813/1431);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
