№;P+, кВт;Время;Дата
1;0.2100;00:30;01.03.2019
2;0.2090;01:00;01.03.2019
3;0.2060;01:30;01.03.2019
4;0.2090;02:00;01.03.2019
5;0.2090;02:30;01.03.2019
6;0.2100;03:00;01.03.2019
7;0.2100;03:30;01.03.2019
8;0.2070;04:00;01.03.2019
9;0.2080;04:30;01.03.2019
10;0.2070;05:00;01.03.2019
11;0.2090;05:30;01.03.2019
12;0.2120;06:00;01.03.2019
13;0.2080;06:30;01.03.2019
14;0.2080;07:00;01.03.2019
15;0.2090;07:30;01.03.2019
16;0.2100;08:00;01.03.2019
17;0.2110;08:30;01.03.2019
18;0.2100;09:00;01.03.2019
19;0.2090;09:30;01.03.2019
20;0.2110;10:00;01.03.2019
21;0.2060;10:30;01.03.2019
22;0.2090;11:00;01.03.2019
23;0.2120;11:30;01.03.2019
24;0.2100;12:00;01.03.2019
25;0.2120;12:30;01.03.2019
26;0.2100;13:00;01.03.2019
27;0.2110;13:30;01.03.2019
28;0.2100;14:00;01.03.2019
29;0.2080;14:30;01.03.2019
30;0.2110;15:00;01.03.2019
31;0.2080;15:30;01.03.2019
32;0.2090;16:00;01.03.2019
33;0.2100;16:30;01.03.2019
34;0.2080;17:00;01.03.2019
35;0.2130;17:30;01.03.2019
36;0.2120;18:00;01.03.2019
37;0.2110;18:30;01.03.2019
38;0.2100;19:00;01.03.2019
39;0.2070;19:30;01.03.2019
40;0.2070;20:00;01.03.2019
41;0.2060;20:30;01.03.2019
42;0.2050;21:00;01.03.2019
43;0.2070;21:30;01.03.2019
44;0.2050;22:00;01.03.2019
45;0.2070;22:30;01.03.2019
46;0.2060;23:00;01.03.2019
47;0.2050;23:30;01.03.2019
48;0.2090;00:00;02.03.2019
49;0.2070;00:30;02.03.2019
50;0.2100;01:00;02.03.2019
51;0.2100;01:30;02.03.2019
52;0.2100;02:00;02.03.2019
53;0.2130;02:30;02.03.2019
54;0.2110;03:00;02.03.2019
55;0.2110;03:30;02.03.2019
56;0.2150;04:00;02.03.2019
57;0.2140;04:30;02.03.2019
58;0.2090;05:00;02.03.2019
59;0.2070;05:30;02.03.2019
60;0.2060;06:00;02.03.2019
61;0.2050;06:30;02.03.2019
62;0.2070;07:00;02.03.2019
63;0.2050;07:30;02.03.2019
64;0.2050;08:00;02.03.2019
65;0.2080;08:30;02.03.2019
66;0.2050;09:00;02.03.2019
67;0.2130;09:30;02.03.2019
68;0.2140;10:00;02.03.2019
69;0.2090;10:30;02.03.2019
70;0.2090;11:00;02.03.2019
71;0.2090;11:30;02.03.2019
72;0.2080;12:00;02.03.2019
73;0.2090;12:30;02.03.2019
74;0.2120;13:00;02.03.2019
75;0.2130;13:30;02.03.2019
76;1.1640;14:00;02.03.2019
77;0.9440;14:30;02.03.2019
78;0.8200;15:00;02.03.2019
79;0.7890;15:30;02.03.2019
80;0.7820;16:00;02.03.2019
81;0.7780;16:30;02.03.2019
82;0.7780;17:00;02.03.2019
83;0.7770;17:30;02.03.2019
