№;P+, кВт;Q+, квар;Время;Дата
1;0.3900;0.0180;00:30;01.03.2019
2;0.3890;0.0170;01:00;01.03.2019
3;0.3880;0.0110;01:30;01.03.2019
4;0.3900;0.0260;02:00;01.03.2019
5;0.3890;0.0160;02:30;01.03.2019
6;0.3880;0.0140;03:00;01.03.2019
7;0.3910;0.0310;03:30;01.03.2019
8;0.3880;0.0180;04:00;01.03.2019
9;0.3890;0.0220;04:30;01.03.2019
10;0.3900;0.0300;05:00;01.03.2019
11;0.3880;0.0130;05:30;01.03.2019
12;0.3900;0.0180;06:00;01.03.2019
13;0.3880;0.0090;06:30;01.03.2019
14;0.3880;0.0050;07:00;01.03.2019
15;0.3910;0.0050;07:30;01.03.2019
16;0.3880;0.0040;08:00;01.03.2019
17;0.3900;0.0040;08:30;01.03.2019
18;0.3900;0.0040;09:00;01.03.2019
19;0.3890;0.0020;09:30;01.03.2019
20;0.3900;0.0020;10:00;01.03.2019
21;0.3900;0.0030;10:30;01.03.2019
22;0.3890;0.0050;11:00;01.03.2019
23;0.3910;0.0170;11:30;01.03.2019
24;0.3900;0.0100;12:00;01.03.2019
25;0.3900;0.0100;12:30;01.03.2019
26;0.3910;0.0120;13:00;01.03.2019
27;0.3890;0.0070;13:30;01.03.2019
28;0.3910;0.0150;14:00;01.03.2019
29;0.3910;0.0150;14:30;01.03.2019
30;0.3900;0.0090;15:00;01.03.2019
31;0.3920;0.0210;15:30;01.03.2019
32;0.3900;0.0100;16:00;01.03.2019
33;0.3900;0.0120;16:30;01.03.2019
34;0.3920;0.0150;17:00;01.03.2019
35;0.3910;0.0060;17:30;01.03.2019
36;0.3920;0.0080;18:00;01.03.2019
37;0.3910;0.0070;18:30;01.03.2019
38;0.3910;0.0040;19:00;01.03.2019
39;0.3940;0.0150;19:30;01.03.2019
40;0.3910;0.0070;20:00;01.03.2019
41;0.3930;0.0130;20:30;01.03.2019
42;0.3940;0.0130;21:00;01.03.2019
43;0.3920;0.0100;21:30;01.03.2019
44;0.3950;0.0190;22:00;01.03.2019
45;0.3930;0.0100;22:30;01.03.2019
46;0.3930;0.0110;23:00;01.03.2019
47;0.3950;0.0230;23:30;01.03.2019
48;0.3930;0.0130;00:00;02.03.2019
49;0.3950;0.0230;00:30;02.03.2019
50;0.3940;0.0160;01:00;02.03.2019
51;0.3940;0.0110;01:30;02.03.2019
52;0.3960;0.0340;02:00;02.03.2019
53;0.3950;0.0190;02:30;02.03.2019
54;0.3950;0.0220;03:00;02.03.2019
55;0.3960;0.0310;03:30;02.03.2019
56;0.3950;0.0160;04:00;02.03.2019
57;0.3960;0.0260;04:30;02.03.2019
58;0.3960;0.0220;05:00;02.03.2019
59;0.3950;0.0160;05:30;02.03.2019
60;0.3970;0.0320;06:00;02.03.2019
61;0.3950;0.0120;06:30;02.03.2019
62;0.3960;0.0120;07:00;02.03.2019
63;0.3980;0.0180;07:30;02.03.2019
64;0.3960;0.0090;08:00;02.03.2019
65;0.3970;0.0130;08:30;02.03.2019
66;0.3970;0.0170;09:00;02.03.2019
67;0.3970;0.0080;09:30;02.03.2019
68;0.3980;0.0180;10:00;02.03.2019
69;0.3970;0.0050;10:30;02.03.2019
70;0.3960;0.0070;11:00;02.03.2019
71;0.3980;0.0100;11:30;02.03.2019
72;0.3950;0.0070;12:00;02.03.2019
73;0.3970;0.0090;12:30;02.03.2019
74;0.3970;0.0100;13:00;02.03.2019
75;0.3960;0.0050;13:30;02.03.2019
76;0.3970;0.0100;14:00;02.03.2019
77;0.3960;0.0060;14:30;02.03.2019
78;0.3960;0.0040;15:00;02.03.2019
79;0.3980;0.0130;15:30;02.03.2019
80;0.3950;0.0070;16:00;02.03.2019
81;0.3970;0.0080;16:30;02.03.2019
82;0.3970;0.0100;17:00;02.03.2019
83;0.3960;0.0060;17:30;02.03.2019
84;0.3970;0.0110;18:00;02.03.2019
85;0.3970;0.0050;18:30;02.03.2019
86;0.3960;0.0030;19:00;02.03.2019
87;0.3980;0.0130;19:30;02.03.2019
88;0.3960;0.0070;20:00;02.03.2019
89;0.3960;0.0090;20:30;02.03.2019
90;0.3980;0.0160;21:00;02.03.2019
91;0.3960;0.0070;21:30;02.03.2019
92;0.3970;0.0120;22:00;02.03.2019
93;0.3980;0.0120;22:30;02.03.2019
94;0.3960;0.0090;23:00;02.03.2019
95;0.3980;0.0190;23:30;02.03.2019
96;0.3960;0.0120;00:00;03.03.2019
97;0.3960;0.0120;00:30;03.03.2019
98;0.3980;0.0210;01:00;03.03.2019
99;0.3970;0.0200;01:30;03.03.2019
100;0.3970;0.0210;02:00;03.03.2019
101;0.3960;0.0210;02:30;03.03.2019
102;0.3980;0.0350;03:00;03.03.2019
103;0.3960;0.0260;03:30;03.03.2019
104;0.3960;0.0260;04:00;03.03.2019
105;0.3960;0.0370;04:30;03.03.2019
106;0.3970;0.0310;05:00;03.03.2019
107;0.3950;0.0220;05:30;03.03.2019
108;0.3960;0.0280;06:00;03.03.2019
109;0.3950;0.0210;06:30;03.03.2019
110;0.3950;0.0140;07:00;03.03.2019
111;0.3950;0.0200;07:30;03.03.2019
112;0.3950;0.0190;08:00;03.03.2019
113;0.3930;0.0120;08:30;03.03.2019
114;0.3940;0.0130;09:00;03.03.2019
115;0.3940;0.0080;09:30;03.03.2019
116;0.3930;0.0070;10:00;03.03.2019
117;0.3940;0.0100;10:30;03.03.2019
118;0.3930;0.0070;11:00;03.03.2019
119;0.3930;0.0040;11:30;03.03.2019
120;0.3940;0.0110;12:00;03.03.2019
121;0.3930;0.0060;12:30;03.03.2019
122;0.3920;0.0040;13:00;03.03.2019
123;0.3940;0.0100;13:30;03.03.2019
124;0.3920;0.0040;14:00;03.03.2019
