№;P+, кВт;R+, кВар;Время;Дата
121;0.6280;0.0660;12:30;03.09.2019
122;0.6200;0.0600;13:00;03.09.2019
123;0.5990;0.0640;13:30;03.09.2019
124;0.6670;0.0790;14:00;03.09.2019
125;0.6790;0.0900;14:30;03.09.2019
126;0.6410;0.0750;15:00;03.09.2019
127;0.6490;0.0690;15:30;03.09.2019
128;0.6000;0.0470;16:00;03.09.2019
129;0.6190;0.0660;16:30;03.09.2019
130;0.5750;0.0130;17:00;03.09.2019
131;0.5740;0.0220;17:30;03.09.2019
132;0.5810;0.0360;18:00;03.09.2019
133;0.5340;0.0270;18:30;03.09.2019
134;0.5200;0.0240;19:00;03.09.2019
135;0.5010;0.0330;19:30;03.09.2019
136;0.4940;0.0260;20:00;03.09.2019
137;0.4910;0.0260;20:30;03.09.2019
138;0.5000;0.0350;21:00;03.09.2019
139;0.5180;0.0480;21:30;03.09.2019
140;0.6050;0.0740;22:00;03.09.2019
141;0.5630;0.0640;22:30;03.09.2019
142;0.5310;0.0530;23:00;03.09.2019
143;0.5180;0.0590;23:30;03.09.2019
144;0.5000;0.0620;00:00;04.09.2019
145;0.4500;0.0350;00:30;04.09.2019
146;0.4460;0.0280;01:00;04.09.2019
147;0.4940;0.0320;01:30;04.09.2019
148;0.4870;0.0430;02:00;04.09.2019
149;0.5160;0.0530;02:30;04.09.2019
150;0.4940;0.0500;03:00;04.09.2019
151;0.4870;0.0440;03:30;04.09.2019
152;0.4910;0.0430;04:00;04.09.2019
153;0.5420;0.0650;04:30;04.09.2019
154;0.5490;0.0650;05:00;04.09.2019
155;0.5470;0.0550;05:30;04.09.2019
156;0.5230;0.0550;06:00;04.09.2019
157;0.4420;0.0380;06:30;04.09.2019
158;0.4070;0.0210;07:00;04.09.2019
159;0.4340;0.0170;07:30;04.09.2019
160;0.4730;0.0170;08:00;04.09.2019
161;0.5410;0.0140;08:30;04.09.2019
162;0.6000;0.0410;09:00;04.09.2019
163;0.6150;0.0630;09:30;04.09.2019
164;0.6350;0.0690;10:00;04.09.2019
165;0.6920;0.0860;10:30;04.09.2019
166;0.6520;0.0820;11:00;04.09.2019
167;0.6840;0.0970;11:30;04.09.2019
168;0.7360;0.1110;12:00;04.09.2019
169;0.6490;0.0760;12:30;04.09.2019
170;0.6280;0.0700;13:00;04.09.2019
171;0.6850;0.0850;13:30;04.09.2019
172;0.6950;0.0900;14:00;04.09.2019
173;0.7210;0.1040;14:30;04.09.2019
174;0.6830;0.0990;15:00;04.09.2019
175;0.6670;0.0850;15:30;04.09.2019
176;0.7260;0.1020;16:00;04.09.2019
177;0.6920;0.1010;16:30;04.09.2019
178;0.6520;0.0940;17:00;04.09.2019
179;0.6310;0.0770;17:30;04.09.2019
180;0.6140;0.0590;18:00;04.09.2019
181;0.5800;0.0600;18:30;04.09.2019
182;0.5520;0.0520;19:00;04.09.2019
183;0.5340;0.0400;19:30;04.09.2019
184;0.4870;0.0390;20:00;04.09.2019
185;0.5040;0.0390;20:30;04.09.2019
186;0.5020;0.0390;21:00;04.09.2019
187;0.5310;0.0460;21:30;04.09.2019
188;0.5260;0.0470;22:00;04.09.2019
189;0.5190;0.0480;22:30;04.09.2019
190;0.5040;0.0500;23:00;04.09.2019
191;0.5060;0.0500;23:30;04.09.2019
192;0.5210;0.0520;00:00;05.09.2019
193;0.4820;0.0420;00:30;05.09.2019
194;0.4900;0.0440;01:00;05.09.2019
195;0.5350;0.0500;01:30;05.09.2019
196;0.4920;0.0450;02:00;05.09.2019
197;0.5430;0.0560;02:30;05.09.2019
198;0.5410;0.0560;03:00;05.09.2019
199;0.5470;0.0600;03:30;05.09.2019
200;0.5370;0.0560;04:00;05.09.2019
201;0.5300;0.0560;04:30;05.09.2019
202;0.5530;0.0590;05:00;05.09.2019
203;0.5820;0.0620;05:30;05.09.2019
204;0.6050;0.0710;06:00;05.09.2019
205;0.5390;0.0590;06:30;05.09.2019
206;0.4780;0.0420;07:00;05.09.2019
207;0.4720;0.0410;07:30;05.09.2019
208;0.5070;0.0280;08:00;05.09.2019
209;0.5640;0.0190;08:30;05.09.2019
210;0.6030;0.0350;09:00;05.09.2019
211;0.6070;0.0640;09:30;05.09.2019
