n;P+;R+;Time;Date
1;0,00;0,00;00:30;07.04.2020
2;0,00;0,00;01:00;07.04.2020
3;0,00;0,00;01:30;07.04.2020
4;0,00;0,00;02:00;07.04.2020
5;0,00;0,00;02:30;07.04.2020
6;0,00;0,00;03:00;07.04.2020
7;0,00;0,00;03:30;07.04.2020
8;0,00;0,00;04:00;07.04.2020
9;0,00;0,00;04:30;07.04.2020
10;0,00;0,00;05:00;07.04.2020
11;0,00;0,00;05:30;07.04.2020
12;0,00;0,00;06:00;07.04.2020
13;0,00;0,00;06:30;07.04.2020
14;0,00;0,00;07:00;07.04.2020
15;0,00;0,00;07:30;07.04.2020
16;0,00;0,00;08:00;07.04.2020
17;0,00;0,00;08:30;07.04.2020
18;0,00;0,00;09:00;07.04.2020
19;0,00;0,00;09:30;07.04.2020
20;0,00;0,00;10:00;07.04.2020
21;0,00;0,00;10:30;07.04.2020
22;0,00;0,00;11:00;07.04.2020
23;0,00;0,00;11:30;07.04.2020
24;0,00;0,00;12:00;07.04.2020
25;0,00;0,00;12:30;07.04.2020
26;0,00;0,00;13:00;07.04.2020
27;0,00;0,00;13:30;07.04.2020
28;0,00;0,00;14:00;07.04.2020
29;0,00;0,00;14:30;07.04.2020
30;0,00;0,00;15:00;07.04.2020
31;0,00;0,00;15:30;07.04.2020
32;0,00;0,00;16:00;07.04.2020
33;0,00;0,00;16:30;07.04.2020
34;0,00;0,00;17:00;07.04.2020
35;0,00;0,00;17:30;07.04.2020
36;0,00;0,00;18:00;07.04.2020
37;0,00;0,00;18:30;07.04.2020
38;0,00;0,00;19:00;07.04.2020
39;0,00;0,00;19:30;07.04.2020
40;0,00;0,00;20:00;07.04.2020
41;0,00;0,00;20:30;07.04.2020
42;0,00;0,00;21:00;07.04.2020
43;0,00;0,00;21:30;07.04.2020
44;0,00;0,00;22:00;07.04.2020
45;0,00;0,00;22:30;07.04.2020
46;0,00;0,00;23:00;07.04.2020
47;0,00;0,00;23:30;07.04.2020
48;0,00;0,00;00:00;07.04.2020
