n;P+;R+;Time;Date
;0,1251;0,0000;00:30;25.02.2020
;0,1256;0,0000;01:00;25.02.2020
;0,1226;0,0000;01:30;25.02.2020
;0,1231;0,0005;02:00;25.02.2020
;0,1251;0,0000;02:30;25.02.2020
;0,1246;0,0000;03:00;25.02.2020
;0,1271;0,0000;03:30;25.02.2020
;0,1356;0,0005;04:00;25.02.2020
;0,1301;0,0000;04:30;25.02.2020
;0,1486;0,0000;05:00;25.02.2020
;0,1721;0,0000;05:30;25.02.2020
;0,2306;0,0005;06:00;25.02.2020
;0,2401;0,0010;06:30;25.02.2020
;0,2456;0,0015;07:00;25.02.2020
;0,2461;0,0005;07:30;25.02.2020
;0,2921;0,0035;08:00;25.02.2020
;0,3071;0,0020;08:30;25.02.2020
;0,3336;0,0060;09:00;25.02.2020
;0,3306;0,0110;09:30;25.02.2020
;0,3326;0,0155;10:00;25.02.2020
;0,3336;0,0115;10:30;25.02.2020
;0,3321;0,0200;11:00;25.02.2020
;0,3241;0,0225;11:30;25.02.2020
;0,3226;0,0355;12:00;25.02.2020
;0,3076;0,0085;12:30;25.02.2020
;0,3136;0,0115;13:00;25.02.2020
;0,3051;0,0345;13:30;25.02.2020
;0,2956;0,0300;14:00;25.02.2020
;0,2881;0,0340;14:30;25.02.2020
;0,2641;0,0135;15:00;25.02.2020
;0,2606;0,0155;15:30;25.02.2020
;0,2561;0,0080;16:00;25.02.2020
;0,2641;0,0015;16:30;25.02.2020
;0,2561;0,0025;17:00;25.02.2020
;0,2476;0,0030;17:30;25.02.2020
;0,2431;0,0020;18:00;25.02.2020
;0,2351;0,0005;18:30;25.02.2020
;0,2296;0,0000;19:00;25.02.2020
;0,2266;0,0000;19:30;25.02.2020
;0,2041;0,0000;20:00;25.02.2020
;0,1986;0,0000;20:30;25.02.2020
;0,2006;0,0000;21:00;25.02.2020
;0,1966;0,0005;21:30;25.02.2020
;0,1846;0,0000;22:00;25.02.2020
;0,1731;0,0000;22:30;25.02.2020
;0,1531;0,0000;23:00;25.02.2020
;0,1416;0,0000;23:30;25.02.2020
;0,1336;0,0000;00:00;25.02.2020
;0,1246;0,0005;00:30;26.02.2020
;0,1216;0,0000;01:00;26.02.2020
;0,1211;0,0000;01:30;26.02.2020
;0,1186;0,0000;02:00;26.02.2020
;0,1176;0,0000;02:30;26.02.2020
;0,1196;0,0000;03:00;26.02.2020
;0,1211;0,0005;03:30;26.02.2020
;0,1301;0,0000;04:00;26.02.2020
;0,1296;0,0000;04:30;26.02.2020
;0,1261;0,0000;05:00;26.02.2020
;0,1566;0,0000;05:30;26.02.2020
;0,2306;0,0005;06:00;26.02.2020
;0,2536;0,0015;06:30;26.02.2020
;0,2481;0,0010;07:00;26.02.2020
;0,2631;0,0020;07:30;26.02.2020
;0,2771;0,0010;08:00;26.02.2020
;0,3011;0,0010;08:30;26.02.2020
;0,3096;0,0015;09:00;26.02.2020
;0,3221;0,0135;09:30;26.02.2020
;0,3151;0,0105;10:00;26.02.2020
;0,3121;0,0155;10:30;26.02.2020
;0,3121;0,0185;11:00;26.02.2020
;0,3076;0,0385;11:30;26.02.2020
;0,3056;0,0400;12:00;26.02.2020
;0,3016;0,0225;12:30;26.02.2020
;0,3081;0,0085;13:00;26.02.2020
;0,3001;0,0085;13:30;26.02.2020
;0,2781;0,0165;14:00;26.02.2020
;0,2591;0,0125;14:30;26.02.2020
;0,2561;0,0025;15:00;26.02.2020
;0,2656;0,0165;15:30;26.02.2020
;0,2571;0,0100;16:00;26.02.2020
;0,2511;0,0060;16:30;26.02.2020
;0,2501;0,0015;17:00;26.02.2020
;0,2506;0,0035;17:30;26.02.2020
;0,2436;0,0040;18:00;26.02.2020
;0,2391;0,0005;18:30;26.02.2020
;0,2256;0,0000;19:00;26.02.2020
;0,2236;0,0000;19:30;26.02.2020
;0,2151;0,0000;20:00;26.02.2020
;0,2091;0,0000;20:30;26.02.2020
;0,2021;0,0000;21:00;26.02.2020
;0,1881;0,0000;21:30;26.02.2020
;0,1761;0,0000;22:00;26.02.2020
;0,1676;0,0000;22:30;26.02.2020
;0,1566;0,0000;23:00;26.02.2020
;0,1476;0,0000;23:30;26.02.2020
;0,1416;0,0000;00:00;26.02.2020
;0,1346;0,0000;00:30;27.02.2020
;0,1356;0,0005;01:00;27.02.2020
;0,1336;0,0000;01:30;27.02.2020
;0,1291;0,0000;02:00;27.02.2020
;0,1276;0,0000;02:30;27.02.2020
;0,1246;0,0005;03:00;27.02.2020
;0,1236;0,0000;03:30;27.02.2020
;0,1356;0,0000;04:00;27.02.2020
;0,1336;0,0000;04:30;27.02.2020
;0,1301;0,0000;05:00;27.02.2020
;0,1626;0,0005;05:30;27.02.2020
;0,2436;0,0005;06:00;27.02.2020
;0,2586;0,0010;06:30;27.02.2020
;0,2556;0,0000;07:00;27.02.2020
;0,2531;0,0005;07:30;27.02.2020
;0,2906;0,0020;08:00;27.02.2020
;0,3131;0,0015;08:30;27.02.2020
;0,3321;0,0065;09:00;27.02.2020
;0,3231;0,0055;09:30;27.02.2020
;0,3286;0,0080;10:00;27.02.2020
;0,3211;0,0075;10:30;27.02.2020
;0,3096;0,0195;11:00;27.02.2020
;0,3101;0,0095;11:30;27.02.2020
;0,3241;0,0190;12:00;27.02.2020
;0,3076;0,0125;12:30;27.02.2020
;0,3081;0,0095;13:00;27.02.2020
;0,3001;0,0115;13:30;27.02.2020
;0,2876;0,0125;14:00;27.02.2020
;0,2631;0,0055;14:30;27.02.2020
;0,2561;0,0020;15:00;27.02.2020
;0,2586;0,0015;15:30;27.02.2020
;0,2606;0,0070;16:00;27.02.2020
;0,2551;0,0020;16:30;27.02.2020
;0,2541;0,0015;17:00;27.02.2020
;0,2506;0,0010;17:30;27.02.2020
;0,2491;0,0010;18:00;27.02.2020
;0,2396;0,0005;18:30;27.02.2020
;0,2301;0,0000;19:00;27.02.2020
;0,2271;0,0000;19:30;27.02.2020
;0,2246;0,0000;20:00;27.02.2020
;0,2161;0,0000;20:30;27.02.2020
;0,2086;0,0000;21:00;27.02.2020
;0,2006;0,0000;21:30;27.02.2020
;0,1691;0,0000;22:00;27.02.2020
;0,1471;0,0000;22:30;27.02.2020
;0,1316;0,0005;23:00;27.02.2020
;0,1311;0,0000;23:30;27.02.2020
;0,1291;0,0000;00:00;27.02.2020
;;;;
