n;P+;R+;Time;Date
1;0;0;00:30;28.06.2020
2;0;0;01:00;28.06.2020
3;0;0;01:30;28.06.2020
4;0;0;02:00;28.06.2020
5;0;0;02:30;28.06.2020
6;0;0;03:00;28.06.2020
7;0;0;03:30;28.06.2020
8;0;0;04:00;28.06.2020
9;0;0;04:30;28.06.2020
10;0;0;05:00;28.06.2020
11;0;0;05:30;28.06.2020
12;0;0;06:00;28.06.2020
13;0,000633;0;06:30;28.06.2020
14;0,003533;0,0007;07:00;28.06.2020
15;0,003733;0,0006;07:30;28.06.2020
16;0,003633;0,0006;08:00;28.06.2020
17;0,003633;0,0005;08:30;28.06.2020
18;0,003833;0,0006;09:00;28.06.2020
19;0,003733;0,0007;09:30;28.06.2020
20;0,003733;0,0006;10:00;28.06.2020
21;0,003833;0,0006;10:30;28.06.2020
22;0,003733;0,0007;11:00;28.06.2020
23;0,003833;0,0006;11:30;28.06.2020
24;0,003833;0,0006;12:00;28.06.2020
25;0,003833;0,0006;12:30;28.06.2020
26;0,003933;0,0007;13:00;28.06.2020
27;0,003933;0,0006;13:30;28.06.2020
28;0,003833;0,0007;14:00;28.06.2020
29;0,003933;0,0006;14:30;28.06.2020
30;0,003833;0,0007;15:00;28.06.2020
31;0,003933;0,0006;15:30;28.06.2020
32;0,004033;0,0007;16:00;28.06.2020
33;0,004033;0,0007;16:30;28.06.2020
34;0,004233;0,0007;17:00;28.06.2020
35;0,004033;0,0008;17:30;28.06.2020
36;0,004333;0,0007;18:00;28.06.2020
37;0,004233;0,0008;18:30;28.06.2020
38;0,004233;0,0007;19:00;28.06.2020
39;0,004233;0,0008;19:30;28.06.2020
40;0,004133;0,0006;20:00;28.06.2020
41;0,004033;0,0006;20:30;28.06.2020
42;0,003933;0,0006;21:00;28.06.2020
43;0,004233;0,0006;21:30;28.06.2020
44;0,004033;0,0007;22:00;28.06.2020
45;0,004133;0,0007;22:30;28.06.2020
46;0,004133;0,0007;23:00;28.06.2020
47;0,004133;0,0007;23:30;28.06.2020
48;0,004033;0,0006;00:00;28.06.2020
49;0,003933;0,0007;00:30;29.06.2020
50;0,003933;0,0006;01:00;29.06.2020
51;0,003933;0,0007;01:30;29.06.2020
52;0,003733;0,0008;02:00;29.06.2020
53;0,003733;0,0007;02:30;29.06.2020
54;0,003833;0,0006;03:00;29.06.2020
55;0,003833;0,0007;03:30;29.06.2020
56;0,003733;0,0007;04:00;29.06.2020
57;0,003633;0,0008;04:30;29.06.2020
58;0,003733;0,0007;05:00;29.06.2020
59;0,003733;0,0006;05:30;29.06.2020
60;0,003633;0,0007;06:00;29.06.2020
61;0,003733;0,0007;06:30;29.06.2020
62;0,004133;0,0007;07:00;29.06.2020
63;0,004433;0,0006;07:30;29.06.2020
64;0,005333;0,0006;08:00;29.06.2020
65;0,006033;0,0005;08:30;29.06.2020
66;0,006933;0,0006;09:00;29.06.2020
67;0,007233;0,0006;09:30;29.06.2020
