№;P+, кВт;Время;Дата
155;0.1760;05:30;04.03.2019
156;0.1760;06:00;04.03.2019
157;0.3180;06:30;04.03.2019
158;0.4710;07:00;04.03.2019
159;0.4970;07:30;04.03.2019
160;0.4550;08:00;04.03.2019
161;0.4520;08:30;04.03.2019
162;0.4770;09:00;04.03.2019
163;0.5680;09:30;04.03.2019
164;0.5130;10:00;04.03.2019
165;0.5500;10:30;04.03.2019
166;0.5430;11:00;04.03.2019
167;0.4910;11:30;04.03.2019
168;0.4980;12:00;04.03.2019
169;0.5110;12:30;04.03.2019
170;0.5470;13:00;04.03.2019
171;0.5940;13:30;04.03.2019
172;0.5730;14:00;04.03.2019
173;0.5220;14:30;04.03.2019
174;0.4630;15:00;04.03.2019
175;0.4970;15:30;04.03.2019
176;0.4010;16:00;04.03.2019
177;0.3530;16:30;04.03.2019
178;0.3350;17:00;04.03.2019
179;0.3360;17:30;04.03.2019
180;0.2830;18:00;04.03.2019
181;0.2760;18:30;04.03.2019
182;0.2710;19:00;04.03.2019
183;0.2760;19:30;04.03.2019
184;0.2700;20:00;04.03.2019
185;0.2530;20:30;04.03.2019
186;0.2580;21:00;04.03.2019
187;0.2720;21:30;04.03.2019
188;0.2550;22:00;04.03.2019
189;0.2380;22:30;04.03.2019
190;0.2730;23:00;04.03.2019
191;0.2300;23:30;04.03.2019
192;0.2190;00:00;05.03.2019
193;0.1950;00:30;05.03.2019
194;0.1860;01:00;05.03.2019
195;0.1920;01:30;05.03.2019
196;0.1890;02:00;05.03.2019
197;0.1880;02:30;05.03.2019
198;0.1850;03:00;05.03.2019
199;0.1850;03:30;05.03.2019
200;0.1840;04:00;05.03.2019
201;0.1840;04:30;05.03.2019
202;0.1860;05:00;05.03.2019
203;0.1850;05:30;05.03.2019
204;0.1820;06:00;05.03.2019
205;0.2090;06:30;05.03.2019
206;0.5050;07:00;05.03.2019
207;0.5650;07:30;05.03.2019
208;0.5410;08:00;05.03.2019
209;0.5070;08:30;05.03.2019
210;0.4790;09:00;05.03.2019
211;0.5190;09:30;05.03.2019
212;0.5340;10:00;05.03.2019
213;0.5370;10:30;05.03.2019
214;0.5470;11:00;05.03.2019
215;0.5350;11:30;05.03.2019
216;0.4810;12:00;05.03.2019
217;0.5270;12:30;05.03.2019
218;0.4970;13:00;05.03.2019
219;0.4840;13:30;05.03.2019
220;0.5120;14:00;05.03.2019
221;0.5010;14:30;05.03.2019
222;0.5180;15:00;05.03.2019
223;0.4680;15:30;05.03.2019
224;0.3620;16:00;05.03.2019
225;0.3480;16:30;05.03.2019
226;0.3240;17:00;05.03.2019
227;0.3630;17:30;05.03.2019
228;0.3320;18:00;05.03.2019
229;0.2940;18:30;05.03.2019
230;0.2980;19:00;05.03.2019
231;0.2770;19:30;05.03.2019
232;0.2920;20:00;05.03.2019
233;0.2710;20:30;05.03.2019
234;0.2580;21:00;05.03.2019
235;0.2670;21:30;05.03.2019
236;0.2430;22:00;05.03.2019
237;0.2320;22:30;05.03.2019
238;0.2320;23:00;05.03.2019
239;0.2240;23:30;05.03.2019
240;0.2010;00:00;06.03.2019
241;0.1910;00:30;06.03.2019
242;0.1870;01:00;06.03.2019
243;0.1840;01:30;06.03.2019
244;0.1840;02:00;06.03.2019
245;0.1850;02:30;06.03.2019
246;0.1840;03:00;06.03.2019
247;0.1870;03:30;06.03.2019
248;0.1820;04:00;06.03.2019
249;0.1850;04:30;06.03.2019
250;0.1840;05:00;06.03.2019
251;0.1860;05:30;06.03.2019
252;0.2110;06:00;06.03.2019
253;0.2730;06:30;06.03.2019
254;0.4540;07:00;06.03.2019
255;0.5030;07:30;06.03.2019
256;0.4310;08:00;06.03.2019
257;0.4570;08:30;06.03.2019
258;0.5040;09:00;06.03.2019
259;0.5530;09:30;06.03.2019
260;0.5340;10:00;06.03.2019
261;0.5490;10:30;06.03.2019
262;0.5090;11:00;06.03.2019
263;0.5810;11:30;06.03.2019
264;0.5120;12:00;06.03.2019
265;0.5000;12:30;06.03.2019
266;0.5100;13:00;06.03.2019
267;0.5300;13:30;06.03.2019
268;0.5130;14:00;06.03.2019
269;0.4840;14:30;06.03.2019
270;0.4440;15:00;06.03.2019
271;0.4100;15:30;06.03.2019
272;0.3700;16:00;06.03.2019
273;0.3750;16:30;06.03.2019
274;0.3210;17:00;06.03.2019
275;0.3220;17:30;06.03.2019
276;0.3000;18:00;06.03.2019
277;0.2930;18:30;06.03.2019
278;0.2800;19:00;06.03.2019
279;0.3030;19:30;06.03.2019
280;0.2750;20:00;06.03.2019
281;0.3180;20:30;06.03.2019
282;0.2810;21:00;06.03.2019
283;0.2860;21:30;06.03.2019
284;0.2870;22:00;06.03.2019
285;0.2620;22:30;06.03.2019
286;0.2460;23:00;06.03.2019
287;0.2250;23:30;06.03.2019
288;0.2390;00:00;07.03.2019
289;0.2200;00:30;07.03.2019
290;0.1990;01:00;07.03.2019
291;0.1930;01:30;07.03.2019
292;0.1920;02:00;07.03.2019
293;0.1900;02:30;07.03.2019
294;0.1900;03:00;07.03.2019
295;0.1880;03:30;07.03.2019
296;0.1920;04:00;07.03.2019
297;0.1860;04:30;07.03.2019
298;0.1860;05:00;07.03.2019
299;0.1840;05:30;07.03.2019
300;0.1890;06:00;07.03.2019
301;0.2620;06:30;07.03.2019
302;0.4390;07:00;07.03.2019
303;0.4880;07:30;07.03.2019
304;0.4950;08:00;07.03.2019
305;0.4730;08:30;07.03.2019
306;0.4800;09:00;07.03.2019
307;0.5040;09:30;07.03.2019
308;0.5150;10:00;07.03.2019
309;0.5270;10:30;07.03.2019
310;0.5240;11:00;07.03.2019
311;0.5060;11:30;07.03.2019
312;0.4880;12:00;07.03.2019
313;0.4750;12:30;07.03.2019
314;0.5230;13:00;07.03.2019
315;0.4870;13:30;07.03.2019
316;0.4590;14:00;07.03.2019
317;0.4270;14:30;07.03.2019
318;0.4140;15:00;07.03.2019
319;0.3310;15:30;07.03.2019
320;0.3270;16:00;07.03.2019
321;0.3830;16:30;07.03.2019
322;0.3430;17:00;07.03.2019
323;0.2940;17:30;07.03.2019
324;0.2770;18:00;07.03.2019
325;0.2650;18:30;07.03.2019
326;0.2860;19:00;07.03.2019
327;0.2370;19:30;07.03.2019
328;0.2460;20:00;07.03.2019
329;0.2540;20:30;07.03.2019
330;0.2500;21:00;07.03.2019
331;0.2260;21:30;07.03.2019
332;0.2450;22:00;07.03.2019
333;0.2360;22:30;07.03.2019
334;0.2140;23:00;07.03.2019
335;0.2240;23:30;07.03.2019
336;0.2040;00:00;08.03.2019
337;0.2180;00:30;08.03.2019
338;0.1990;01:00;08.03.2019
339;0.1950;01:30;08.03.2019
340;0.1970;02:00;08.03.2019
341;0.1820;02:30;08.03.2019
342;0.1810;03:00;08.03.2019
343;0.1820;03:30;08.03.2019
344;0.1780;04:00;08.03.2019
345;0.1790;04:30;08.03.2019
346;0.1780;05:00;08.03.2019
347;0.1790;05:30;08.03.2019
348;0.1820;06:00;08.03.2019
349;0.1820;06:30;08.03.2019
350;0.1780;07:00;08.03.2019
351;0.1850;07:30;08.03.2019
352;0.1810;08:00;08.03.2019
353;0.1930;08:30;08.03.2019
354;0.2760;09:00;08.03.2019
355;0.2780;09:30;08.03.2019
356;0.2550;10:00;08.03.2019
357;0.2130;10:30;08.03.2019
358;0.2120;11:00;08.03.2019
359;0.2270;11:30;08.03.2019
360;0.2410;12:00;08.03.2019
361;0.2490;12:30;08.03.2019
362;0.2400;13:00;08.03.2019
363;0.2350;13:30;08.03.2019
364;0.2310;14:00;08.03.2019
365;0.2090;14:30;08.03.2019
366;0.2270;15:00;08.03.2019
367;0.2540;15:30;08.03.2019
368;0.2300;16:00;08.03.2019
369;0.2340;16:30;08.03.2019
370;0.2350;17:00;08.03.2019
371;0.2220;17:30;08.03.2019
372;0.2390;18:00;08.03.2019
373;0.2370;18:30;08.03.2019
374;0.2360;19:00;08.03.2019
375;0.2250;19:30;08.03.2019
376;0.2360;20:00;08.03.2019
377;0.2470;20:30;08.03.2019
378;0.2170;21:00;08.03.2019
379;0.2290;21:30;08.03.2019
380;0.2240;22:00;08.03.2019
381;0.2220;22:30;08.03.2019
382;0.2140;23:00;08.03.2019
383;0.2050;23:30;08.03.2019
384;0.2050;00:00;09.03.2019
385;0.1840;00:30;09.03.2019
386;0.1760;01:00;09.03.2019
387;0.1740;01:30;09.03.2019
388;0.1710;02:00;09.03.2019
389;0.1750;02:30;09.03.2019
390;0.1730;03:00;09.03.2019
391;0.1790;03:30;09.03.2019
392;0.1770;04:00;09.03.2019
393;0.1750;04:30;09.03.2019
394;0.1750;05:00;09.03.2019
395;0.1740;05:30;09.03.2019
396;0.1730;06:00;09.03.2019
397;0.1790;06:30;09.03.2019
398;0.1720;07:00;09.03.2019
399;0.1880;07:30;09.03.2019
400;0.2640;08:00;09.03.2019
401;0.2480;08:30;09.03.2019
402;0.2380;09:00;09.03.2019
403;0.2100;09:30;09.03.2019
404;0.1940;10:00;09.03.2019
405;0.2110;10:30;09.03.2019
406;0.2310;11:00;09.03.2019
