n;P+;R+;Time;Date;;;;;;;;;
93;1,608;0,03;22:30;02.12.2019;;;;;;;;;
94;1,06;0,015;23:00;02.12.2019;;;;;;;;;
95;0,172;0;23:30;02.12.2019;;;;;;;;;
96;0,173;0;00:00;02.12.2019;;;;;;;;;
97;0,17;0;00:30;03.12.2019;;;;;;;;;
98;0,17;0;01:00;03.12.2019;;;;;;;;;
99;0,169;0;01:30;03.12.2019;;;;;;;;;
100;0,169;0;02:00;03.12.2019;;;;;;;;;
101;0,169;0;02:30;03.12.2019;;;;;;;;;
102;0,169;0;03:00;03.12.2019;;;;;;;;;
103;0,167;0;03:30;03.12.2019;;;;;;;;;
104;0,167;0;04:00;03.12.2019;;;;;;;;;
105;0,164;0;04:30;03.12.2019;;;;;;;;;
106;0,166;0;05:00;03.12.2019;;;;;;;;;
107;0,171;0;05:30;03.12.2019;;;;;;;;;
108;0,177;0;06:00;03.12.2019;;;;;;;;;
109;0,178;0;06:30;03.12.2019;;;;;;;;;
110;0,176;0;07:00;03.12.2019;;;;;;;;;
111;0,251;0;07:30;03.12.2019;;;;;;;;;
112;0,324;0;08:00;03.12.2019;;;;;;;;;
113;0,325;0;08:30;03.12.2019;;;;;;;;;
114;0,336;0;09:00;03.12.2019;;;;;;;;;
115;0,334;0;09:30;03.12.2019;;;;;;;;;
116;0,321;0;10:00;03.12.2019;;;;;;;;;
117;0,332;0;10:30;03.12.2019;;;;;;;;;
118;0,341;0;11:00;03.12.2019;;;;;;;;;
119;0,321;0;11:30;03.12.2019;;;;;;;;;
120;0,305;0;12:00;03.12.2019;;;;;;;;;
121;0,313;0;12:30;03.12.2019;;;;;;;;;
122;0,322;0;13:00;03.12.2019;;;;;;;;;
123;0,318;0;13:30;03.12.2019;;;;;;;;;
124;0,333;0;14:00;03.12.2019;;;;;;;;;
125;0,33;0;14:30;03.12.2019;;;;;;;;;
126;0,296;0;15:00;03.12.2019;;;;;;;;;
127;0,273;0;15:30;03.12.2019;;;;;;;;;
128;0,27;0;16:00;03.12.2019;;;;;;;;;
129;0,271;0;16:30;03.12.2019;;;;;;;;;
130;0,261;0;17:00;03.12.2019;;;;;;;;;
131;0,248;0;17:30;03.12.2019;;;;;;;;;
132;0,234;0;18:00;03.12.2019;;;;;;;;;
133;0,227;0;18:30;03.12.2019;;;;;;;;;
134;0,219;0;19:00;03.12.2019;;;;;;;;;
135;0,212;0;19:30;03.12.2019;;;;;;;;;
136;0,202;0;20:00;03.12.2019;;;;;;;;;
137;0,194;0;20:30;03.12.2019;;;;;;;;;
138;0,19;0;21:00;03.12.2019;;;;;;;;;
139;0,185;0;21:30;03.12.2019;;;;;;;;;
140;0,178;0;22:00;03.12.2019;;;;;;;;;
141;0,174;0;22:30;03.12.2019;;;;;;;;;
142;0,172;0;23:00;03.12.2019;;;;;;;;;
143;0,172;0;23:30;03.12.2019;;;;;;;;;
144;0,17;0;00:00;03.12.2019;;;;;;;;;
145;0,17;0;00:30;04.12.2019;;;;;;;;;
146;0,168;0;01:00;04.12.2019;;;;;;;;;
147;0,167;0;01:30;04.12.2019;;;;;;;;;
