n;P+;R+;Time;Date;;;;;;;;;
490;0,16;0;05:00;11.12.2019;;;;;;;;;
491;0,165;0;05:30;11.12.2019;;;;;;;;;
492;0,17;0;06:00;11.12.2019;;;;;;;;;
493;0,173;0;06:30;11.12.2019;;;;;;;;;
494;0,173;0;07:00;11.12.2019;;;;;;;;;
495;0,223;0;07:30;11.12.2019;;;;;;;;;
496;0,382;0;08:00;11.12.2019;;;;;;;;;
497;0,284;0;08:30;11.12.2019;;;;;;;;;
498;0,302;0;09:00;11.12.2019;;;;;;;;;
499;0,288;0;09:30;11.12.2019;;;;;;;;;
500;0,309;0;10:00;11.12.2019;;;;;;;;;
501;0,313;0;10:30;11.12.2019;;;;;;;;;
502;0,334;0;11:00;11.12.2019;;;;;;;;;
503;0,318;0;11:30;11.12.2019;;;;;;;;;
504;0,325;0;12:00;11.12.2019;;;;;;;;;
505;0,311;0;12:30;11.12.2019;;;;;;;;;
506;0,325;0;13:00;11.12.2019;;;;;;;;;
507;0,342;0;13:30;11.12.2019;;;;;;;;;
508;0,342;0;14:00;11.12.2019;;;;;;;;;
509;0,323;0;14:30;11.12.2019;;;;;;;;;
510;0,327;0;15:00;11.12.2019;;;;;;;;;
511;0,279;0;15:30;11.12.2019;;;;;;;;;
512;0,274;0;16:00;11.12.2019;;;;;;;;;
513;0,248;0;16:30;11.12.2019;;;;;;;;;
514;0,249;0;17:00;11.12.2019;;;;;;;;;
515;0,239;0;17:30;11.12.2019;;;;;;;;;
516;0,229;0;18:00;11.12.2019;;;;;;;;;
517;0,222;0;18:30;11.12.2019;;;;;;;;;
518;0,228;0;19:00;11.12.2019;;;;;;;;;
519;0,21;0;19:30;11.12.2019;;;;;;;;;
520;0,2;0;20:00;11.12.2019;;;;;;;;;
521;0,195;0;20:30;11.12.2019;;;;;;;;;
522;0,183;0;21:00;11.12.2019;;;;;;;;;
523;0,175;0;21:30;11.12.2019;;;;;;;;;
524;0,175;0;22:00;11.12.2019;;;;;;;;;
525;0,169;0;22:30;11.12.2019;;;;;;;;;
526;0,168;0;23:00;11.12.2019;;;;;;;;;
527;0,167;0;23:30;11.12.2019;;;;;;;;;
528;0,17;0;00:00;11.12.2019;;;;;;;;;
529;0,166;0;00:30;12.12.2019;;;;;;;;;
530;0,164;0;01:00;12.12.2019;;;;;;;;;
531;0,163;0;01:30;12.12.2019;;;;;;;;;
532;0,162;0;02:00;12.12.2019;;;;;;;;;
533;0,162;0;02:30;12.12.2019;;;;;;;;;
534;0,161;0;03:00;12.12.2019;;;;;;;;;
535;0,162;0;03:30;12.12.2019;;;;;;;;;
536;0,163;0;04:00;12.12.2019;;;;;;;;;
537;0,162;0;04:30;12.12.2019;;;;;;;;;
538;0,162;0;05:00;12.12.2019;;;;;;;;;
539;0,168;0;05:30;12.12.2019;;;;;;;;;
540;0,174;0;06:00;12.12.2019;;;;;;;;;
541;0,176;0;06:30;12.12.2019;;;;;;;;;
542;0,174;0;07:00;12.12.2019;;;;;;;;;
543;0,233;0;07:30;12.12.2019;;;;;;;;;
544;0,284;0;08:00;12.12.2019;;;;;;;;;
545;0,299;0;08:30;12.12.2019;;;;;;;;;
546;0,334;0;09:00;12.12.2019;;;;;;;;;
547;0,332;0;09:30;12.12.2019;;;;;;;;;
548;0,344;0;10:00;12.12.2019;;;;;;;;;
549;0,345;0;10:30;12.12.2019;;;;;;;;;
550;0,304;0;11:00;12.12.2019;;;;;;;;;
551;0,293;0;11:30;12.12.2019;;;;;;;;;
552;0,303;0;12:00;12.12.2019;;;;;;;;;
553;0,33;0;12:30;12.12.2019;;;;;;;;;
554;0,298;0;13:00;12.12.2019;;;;;;;;;
555;0,295;0;13:30;12.12.2019;;;;;;;;;
556;0,311;0;14:00;12.12.2019;;;;;;;;;
557;0,31;0;14:30;12.12.2019;;;;;;;;;
558;0,312;0;15:00;12.12.2019;;;;;;;;;
559;0,293;0;15:30;12.12.2019;;;;;;;;;
560;0,294;0;16:00;12.12.2019;;;;;;;;;
561;0,278;0;16:30;12.12.2019;;;;;;;;;
562;0,26;0;17:00;12.12.2019;;;;;;;;;
563;0,254;0;17:30;12.12.2019;;;;;;;;;
564;0,241;0;18:00;12.12.2019;;;;;;;;;
565;0,236;0;18:30;12.12.2019;;;;;;;;;
566;0,231;0;19:00;12.12.2019;;;;;;;;;
567;0,224;0;19:30;12.12.2019;;;;;;;;;
568;0,217;0;20:00;12.12.2019;;;;;;;;;
569;0,211;0;20:30;12.12.2019;;;;;;;;;
570;0,205;0;21:00;12.12.2019;;;;;;;;;
571;0,199;0;21:30;12.12.2019;;;;;;;;;
572;0,191;0;22:00;12.12.2019;;;;;;;;;
573;0,19;0;22:30;12.12.2019;;;;;;;;;
574;0,187;0;23:00;12.12.2019;;;;;;;;;
575;0,186;0;23:30;12.12.2019;;;;;;;;;
576;0,186;0;00:00;12.12.2019;;;;;;;;;
577;0,186;0;00:30;13.12.2019;;;;;;;;;
578;0,186;0;01:00;13.12.2019;;;;;;;;;
579;0,185;0;01:30;13.12.2019;;;;;;;;;
580;0,183;0;02:00;13.12.2019;;;;;;;;;
581;0,183;0;02:30;13.12.2019;;;;;;;;;
582;0,185;0;03:00;13.12.2019;;;;;;;;;
583;0,185;0;03:30;13.12.2019;;;;;;;;;
584;0,188;0;04:00;13.12.2019;;;;;;;;;
585;0,188;0;04:30;13.12.2019;;;;;;;;;
586;0,186;0;05:00;13.12.2019;;;;;;;;;
587;0,189;0;05:30;13.12.2019;;;;;;;;;
588;0,196;0;06:00;13.12.2019;;;;;;;;;
589;0,196;0;06:30;13.12.2019;;;;;;;;;
590;0,195;0;07:00;13.12.2019;;;;;;;;;
591;0,237;0;07:30;13.12.2019;;;;;;;;;
592;0,294;0;08:00;13.12.2019;;;;;;;;;
593;0,343;0;08:30;13.12.2019;;;;;;;;;
594;0,321;0;09:00;13.12.2019;;;;;;;;;
595;0,334;0;09:30;13.12.2019;;;;;;;;;
596;0,357;0;10:00;13.12.2019;;;;;;;;;
597;0,349;0;10:30;13.12.2019;;;;;;;;;
598;0,33;0;11:00;13.12.2019;;;;;;;;;
599;0,3;0;11:30;13.12.2019;;;;;;;;;
600;0,339;0;12:00;13.12.2019;;;;;;;;;
601;0,349;0;12:30;13.12.2019;;;;;;;;;
602;0,317;0;13:00;13.12.2019;;;;;;;;;
603;0,331;0;13:30;13.12.2019;;;;;;;;;
604;0,326;0;14:00;13.12.2019;;;;;;;;;
605;0,311;0;14:30;13.12.2019;;;;;;;;;
606;0,326;0;15:00;13.12.2019;;;;;;;;;
607;0,289;0;15:30;13.12.2019;;;;;;;;;
608;0,293;0;16:00;13.12.2019;;;;;;;;;
609;0,291;0;16:30;13.12.2019;;;;;;;;;
610;0,255;0;17:00;13.12.2019;;;;;;;;;
611;0,238;0;17:30;13.12.2019;;;;;;;;;
612;0,221;0;18:00;13.12.2019;;;;;;;;;
613;0,208;0;18:30;13.12.2019;;;;;;;;;
614;0,201;0;19:00;13.12.2019;;;;;;;;;
615;0,198;0;19:30;13.12.2019;;;;;;;;;
616;0,196;0;20:00;13.12.2019;;;;;;;;;
617;0,191;0;20:30;13.12.2019;;;;;;;;;
618;0,188;0;21:00;13.12.2019;;;;;;;;;
619;0,183;0;21:30;13.12.2019;;;;;;;;;
620;0,185;0;22:00;13.12.2019;;;;;;;;;
621;0,182;0;22:30;13.12.2019;;;;;;;;;
622;0,181;0;23:00;13.12.2019;;;;;;;;;
623;0,179;0;23:30;13.12.2019;;;;;;;;;
624;0,179;0;00:00;13.12.2019;;;;;;;;;
625;0,179;0;00:30;14.12.2019;;;;;;;;;
626;0,179;0;01:00;14.12.2019;;;;;;;;;
627;0,179;0;01:30;14.12.2019;;;;;;;;;
628;0,182;0;02:00;14.12.2019;;;;;;;;;
629;0,18;0;02:30;14.12.2019;;;;;;;;;
630;0,179;0;03:00;14.12.2019;;;;;;;;;
631;0,179;0;03:30;14.12.2019;;;;;;;;;
632;0,181;0;04:00;14.12.2019;;;;;;;;;
633;0,182;0;04:30;14.12.2019;;;;;;;;;
634;0,181;0;05:00;14.12.2019;;;;;;;;;
635;0,182;0;05:30;14.12.2019;;;;;;;;;
636;0,188;0;06:00;14.12.2019;;;;;;;;;
637;0,19;0;06:30;14.12.2019;;;;;;;;;
638;0,186;0;07:00;14.12.2019;;;;;;;;;
639;0,186;0;07:30;14.12.2019;;;;;;;;;
640;0,182;0;08:00;14.12.2019;;;;;;;;;
641;0,181;0;08:30;14.12.2019;;;;;;;;;
642;0,181;0;09:00;14.12.2019;;;;;;;;;
643;0,183;0;09:30;14.12.2019;;;;;;;;;
644;0,184;0;10:00;14.12.2019;;;;;;;;;
645;0,183;0;10:30;14.12.2019;;;;;;;;;
646;0,181;0;11:00;14.12.2019;;;;;;;;;
647;0,182;0;11:30;14.12.2019;;;;;;;;;
648;0,182;0;12:00;14.12.2019;;;;;;;;;
649;0,179;0;12:30;14.12.2019;;;;;;;;;
650;0,177;0;13:00;14.12.2019;;;;;;;;;
651;0,183;0;13:30;14.12.2019;;;;;;;;;
652;0,186;0;14:00;14.12.2019;;;;;;;;;
653;0,188;0;14:30;14.12.2019;;;;;;;;;
654;0,186;0;15:00;14.12.2019;;;;;;;;;
655;0,186;0;15:30;14.12.2019;;;;;;;;;
656;0,188;0;16:00;14.12.2019;;;;;;;;;
657;0,188;0;16:30;14.12.2019;;;;;;;;;
658;0,187;0;17:00;14.12.2019;;;;;;;;;
659;0,182;0;17:30;14.12.2019;;;;;;;;;
660;0,186;0;18:00;14.12.2019;;;;;;;;;
661;0,189;0;18:30;14.12.2019;;;;;;;;;
662;0,187;0;19:00;14.12.2019;;;;;;;;;
663;0,187;0;19:30;14.12.2019;;;;;;;;;
664;0,186;0;20:00;14.12.2019;;;;;;;;;
665;0,183;0;20:30;14.12.2019;;;;;;;;;
666;0,182;0;21:00;14.12.2019;;;;;;;;;
667;0,183;0;21:30;14.12.2019;;;;;;;;;
668;0,181;0;22:00;14.12.2019;;;;;;;;;
669;0,18;0;22:30;14.12.2019;;;;;;;;;
670;0,176;0;23:00;14.12.2019;;;;;;;;;
671;0,176;0;23:30;14.12.2019;;;;;;;;;
672;0,177;0;00:00;14.12.2019;;;;;;;;;
673;0,175;0;00:30;15.12.2019;;;;;;;;;
674;0,173;0;01:00;15.12.2019;;;;;;;;;
675;0,173;0;01:30;15.12.2019;;;;;;;;;
676;0,173;0;02:00;15.12.2019;;;;;;;;;
677;0,171;0;02:30;15.12.2019;;;;;;;;;
678;0,171;0;03:00;15.12.2019;;;;;;;;;
679;0,171;0;03:30;15.12.2019;;;;;;;;;
680;0,171;0;04:00;15.12.2019;;;;;;;;;
681;0,171;0;04:30;15.12.2019;;;;;;;;;
682;0,173;0;05:00;15.12.2019;;;;;;;;;
683;0,174;0;05:30;15.12.2019;;;;;;;;;
684;0,177;0;06:00;15.12.2019;;;;;;;;;
685;0,178;0;06:30;15.12.2019;;;;;;;;;
686;0,178;0;07:00;15.12.2019;;;;;;;;;
687;0,177;0;07:30;15.12.2019;;;;;;;;;
688;0,176;0;08:00;15.12.2019;;;;;;;;;
689;0,173;0;08:30;15.12.2019;;;;;;;;;
690;0,173;0;09:00;15.12.2019;;;;;;;;;
691;0,174;0;09:30;15.12.2019;;;;;;;;;
692;0,173;0;10:00;15.12.2019;;;;;;;;;
693;0,179;0;10:30;15.12.2019;;;;;;;;;
694;0,178;0;11:00;15.12.2019;;;;;;;;;
695;0,178;0;11:30;15.12.2019;;;;;;;;;
696;0,179;0;12:00;15.12.2019;;;;;;;;;
697;0,181;0;12:30;15.12.2019;;;;;;;;;
698;0,181;0;13:00;15.12.2019;;;;;;;;;
699;0,183;0;13:30;15.12.2019;;;;;;;;;
700;0,185;0;14:00;15.12.2019;;;;;;;;;
701;0,187;0;14:30;15.12.2019;;;;;;;;;
702;0,189;0;15:00;15.12.2019;;;;;;;;;
703;0,187;0;15:30;15.12.2019;;;;;;;;;
704;0,191;0;16:00;15.12.2019;;;;;;;;;
705;0,19;0;16:30;15.12.2019;;;;;;;;;
706;0,186;0;17:00;15.12.2019;;;;;;;;;
707;0,183;0;17:30;15.12.2019;;;;;;;;;
708;0,185;0;18:00;15.12.2019;;;;;;;;;
709;0,182;0;18:30;15.12.2019;;;;;;;;;
710;0,181;0;19:00;15.12.2019;;;;;;;;;
711;0,18;0;19:30;15.12.2019;;;;;;;;;
712;0,178;0;20:00;15.12.2019;;;;;;;;;
713;0,175;0;20:30;15.12.2019;;;;;;;;;
714;0,175;0;21:00;15.12.2019;;;;;;;;;
715;0,176;0;21:30;15.12.2019;;;;;;;;;
716;0,176;0;22:00;15.12.2019;;;;;;;;;
717;0,175;0;22:30;15.12.2019;;;;;;;;;
718;0,174;0;23:00;15.12.2019;;;;;;;;;
719;0,173;0;23:30;15.12.2019;;;;;;;;;
720;0,175;0;00:00;15.12.2019;;;;;;;;;
721;0,174;0;00:30;16.12.2019;;;;;;;;;
722;0,173;0;01:00;16.12.2019;;;;;;;;;
723;0,173;0;01:30;16.12.2019;;;;;;;;;
724;0,173;0;02:00;16.12.2019;;;;;;;;;
725;0,174;0;02:30;16.12.2019;;;;;;;;;
726;0,173;0;03:00;16.12.2019;;;;;;;;;
727;0,174;0;03:30;16.12.2019;;;;;;;;;
728;0,172;0;04:00;16.12.2019;;;;;;;;;
729;0,171;0;04:30;16.12.2019;;;;;;;;;
730;0,173;0;05:00;16.12.2019;;;;;;;;;
731;0,175;0;05:30;16.12.2019;;;;;;;;;
732;0,179;0;06:00;16.12.2019;;;;;;;;;
733;0,18;0;06:30;16.12.2019;;;;;;;;;
734;0,182;0;07:00;16.12.2019;;;;;;;;;
735;0,224;0;07:30;16.12.2019;;;;;;;;;
736;0,278;0;08:00;16.12.2019;;;;;;;;;
737;0,337;0;08:30;16.12.2019;;;;;;;;;
738;0,318;0;09:00;16.12.2019;;;;;;;;;
739;0,342;0;09:30;16.12.2019;;;;;;;;;
740;0,355;0;10:00;16.12.2019;;;;;;;;;
741;0,391;0;10:30;16.12.2019;;;;;;;;;
742;0,378;0;11:00;16.12.2019;;;;;;;;;
743;0,321;0;11:30;16.12.2019;;;;;;;;;
744;0,34;0;12:00;16.12.2019;;;;;;;;;
745;0,358;0;12:30;16.12.2019;;;;;;;;;
746;0,332;0;13:00;16.12.2019;;;;;;;;;
747;0,321;0;13:30;16.12.2019;;;;;;;;;
748;0,351;0;14:00;16.12.2019;;;;;;;;;
749;0,322;0;14:30;16.12.2019;;;;;;;;;
750;0,331;0;15:00;16.12.2019;;;;;;;;;
751;0,304;0;15:30;16.12.2019;;;;;;;;;
752;0,287;0;16:00;16.12.2019;;;;;;;;;
753;0,273;0;16:30;16.12.2019;;;;;;;;;
754;0,266;0;17:00;16.12.2019;;;;;;;;;
755;0,254;0;17:30;16.12.2019;;;;;;;;;
756;0,248;0;18:00;16.12.2019;;;;;;;;;
757;0,233;0;18:30;16.12.2019;;;;;;;;;
758;0,229;0;19:00;16.12.2019;;;;;;;;;
759;0,221;0;19:30;16.12.2019;;;;;;;;;
760;0,211;0;20:00;16.12.2019;;;;;;;;;
761;0,206;0;20:30;16.12.2019;;;;;;;;;
762;0,2;0;21:00;16.12.2019;;;;;;;;;
763;0,194;0;21:30;16.12.2019;;;;;;;;;
764;0,188;0;22:00;16.12.2019;;;;;;;;;
765;0,187;0;22:30;16.12.2019;;;;;;;;;
766;0,184;0;23:00;16.12.2019;;;;;;;;;
767;0,184;0;23:30;16.12.2019;;;;;;;;;
768;0,183;0;00:00;16.12.2019;;;;;;;;;
769;0,182;0;00:30;17.12.2019;;;;;;;;;
770;0,183;0;01:00;17.12.2019;;;;;;;;;
771;0,183;0;01:30;17.12.2019;;;;;;;;;
772;0,181;0;02:00;17.12.2019;;;;;;;;;
773;0,183;0;02:30;17.12.2019;;;;;;;;;
774;0,182;0;03:00;17.12.2019;;;;;;;;;
775;0,182;0;03:30;17.12.2019;;;;;;;;;
776;0,181;0;04:00;17.12.2019;;;;;;;;;
777;0,181;0;04:30;17.12.2019;;;;;;;;;
778;0,18;0;05:00;17.12.2019;;;;;;;;;
779;0,184;0;05:30;17.12.2019;;;;;;;;;
780;0,19;0;06:00;17.12.2019;;;;;;;;;
781;0,191;0;06:30;17.12.2019;;;;;;;;;
782;0,191;0;07:00;17.12.2019;;;;;;;;;
783;0,241;0;07:30;17.12.2019;;;;;;;;;
784;0,264;0;08:00;17.12.2019;;;;;;;;;
785;0,331;0;08:30;17.12.2019;;;;;;;;;
786;0,336;0;09:00;17.12.2019;;;;;;;;;
787;0,36;0;09:30;17.12.2019;;;;;;;;;
788;0,375;0;10:00;17.12.2019;;;;;;;;;
789;0,344;0;10:30;17.12.2019;;;;;;;;;
790;0,333;0;11:00;17.12.2019;;;;;;;;;
791;0,323;0;11:30;17.12.2019;;;;;;;;;
792;0,344;0;12:00;17.12.2019;;;;;;;;;
793;1,31;0,08;12:30;17.12.2019;;;;;;;;;
794;1,969;0,136;13:00;17.12.2019;;;;;;;;;
795;2,026;0,119;13:30;17.12.2019;;;;;;;;;
796;2,068;0,153;14:00;17.12.2019;;;;;;;;;
797;2,08;0,177;14:30;17.12.2019;;;;;;;;;
798;2,096;0,173;15:00;17.12.2019;;;;;;;;;
799;2,064;0,13;15:30;17.12.2019;;;;;;;;;
800;2,058;0,172;16:00;17.12.2019;;;;;;;;;
801;2,027;0,161;16:30;17.12.2019;;;;;;;;;
802;2,007;0,161;17:00;17.12.2019;;;;;;;;;
803;2,012;0,156;17:30;17.12.2019;;;;;;;;;
804;1,98;0,155;18:00;17.12.2019;;;;;;;;;
805;1,913;0,1;18:30;17.12.2019;;;;;;;;;
806;1,803;0,022;19:00;17.12.2019;;;;;;;;;
807;1,666;0,005;19:30;17.12.2019;;;;;;;;;
808;1,542;0,003;20:00;17.12.2019;;;;;;;;;
809;1,545;0;20:30;17.12.2019;;;;;;;;;
810;1,612;0,003;21:00;17.12.2019;;;;;;;;;
811;1,598;0,012;21:30;17.12.2019;;;;;;;;;
812;1,554;0,017;22:00;17.12.2019;;;;;;;;;
813;1,507;0,003;22:30;17.12.2019;;;;;;;;;
814;1,465;0,001;23:00;17.12.2019;;;;;;;;;
815;1,442;0,007;23:30;17.12.2019;;;;;;;;;
816;1,429;0,003;00:00;17.12.2019;;;;;;;;;
817;1,419;0,004;00:30;18.12.2019;;;;;;;;;
818;1,417;0,007;01:00;18.12.2019;;;;;;;;;
819;1,27;0;01:30;18.12.2019;;;;;;;;;
820;1,42;0,001;02:00;18.12.2019;;;;;;;;;
821;1,436;0,003;02:30;18.12.2019;;;;;;;;;
822;1,448;0;03:00;18.12.2019;;;;;;;;;
823;1,427;0,001;03:30;18.12.2019;;;;;;;;;
824;1,391;0;04:00;18.12.2019;;;;;;;;;
825;1,398;0,008;04:30;18.12.2019;;;;;;;;;
826;1,436;0,012;05:00;18.12.2019;;;;;;;;;
827;1,464;0,005;05:30;18.12.2019;;;;;;;;;
828;1,444;0,002;06:00;18.12.2019;;;;;;;;;
829;1,417;0;06:30;18.12.2019;;;;;;;;;
830;1,416;0;07:00;18.12.2019;;;;;;;;;
831;1,509;0;07:30;18.12.2019;;;;;;;;;
832;1,754;0,001;08:00;18.12.2019;;;;;;;;;
833;1,868;0,002;08:30;18.12.2019;;;;;;;;;
834;1,957;0,017;09:00;18.12.2019;;;;;;;;;
835;2,003;0,096;09:30;18.12.2019;;;;;;;;;
836;2,059;0,128;10:00;18.12.2019;;;;;;;;;
837;2,054;0,148;10:30;18.12.2019;;;;;;;;;
838;2,114;0,172;11:00;18.12.2019;;;;;;;;;
839;2,151;0,175;11:30;18.12.2019;;;;;;;;;
840;2,083;0,147;12:00;18.12.2019;;;;;;;;;
841;2,145;0,146;12:30;18.12.2019;;;;;;;;;
842;2,102;0,131;13:00;18.12.2019;;;;;;;;;
843;2,089;0,151;13:30;18.12.2019;;;;;;;;;
844;2,096;0,173;14:00;18.12.2019;;;;;;;;;
845;2,136;0,183;14:30;18.12.2019;;;;;;;;;
846;2,178;0,186;15:00;18.12.2019;;;;;;;;;
847;2,045;0,18;15:30;18.12.2019;;;;;;;;;
848;2,066;0,183;16:00;18.12.2019;;;;;;;;;
849;2,06;0,165;16:30;18.12.2019;;;;;;;;;
850;2,011;0,151;17:00;18.12.2019;;;;;;;;;
851;2,021;0,163;17:30;18.12.2019;;;;;;;;;
852;2,026;0,159;18:00;18.12.2019;;;;;;;;;
853;1,902;0,064;18:30;18.12.2019;;;;;;;;;
854;1,752;0,006;19:00;18.12.2019;;;;;;;;;
855;1,705;0,021;19:30;18.12.2019;;;;;;;;;
856;1,714;0,024;20:00;18.12.2019;;;;;;;;;
857;1,687;0,024;20:30;18.12.2019;;;;;;;;;
858;1,586;0,005;21:00;18.12.2019;;;;;;;;;
859;1,481;0,005;21:30;18.12.2019;;;;;;;;;
860;1,552;0,016;22:00;18.12.2019;;;;;;;;;
861;1,585;0,014;22:30;18.12.2019;;;;;;;;;
862;1,569;0,011;23:00;18.12.2019;;;;;;;;;
863;1,571;0,014;23:30;18.12.2019;;;;;;;;;
864;1,523;0,014;00:00;18.12.2019;;;;;;;;;
865;0,181;0;00:30;19.12.2019;;;;;;;;;
866;0,18;0;01:00;19.12.2019;;;;;;;;;
867;0,177;0;01:30;19.12.2019;;;;;;;;;
868;0,178;0;02:00;19.12.2019;;;;;;;;;
869;0,177;0;02:30;19.12.2019;;;;;;;;;
870;0,177;0;03:00;19.12.2019;;;;;;;;;
871;0,179;0;03:30;19.12.2019;;;;;;;;;
872;0,179;0;04:00;19.12.2019;;;;;;;;;
873;0,177;0;04:30;19.12.2019;;;;;;;;;
874;0,177;0;05:00;19.12.2019;;;;;;;;;
875;0,184;0;05:30;19.12.2019;;;;;;;;;
876;0,187;0;06:00;19.12.2019;;;;;;;;;
877;0,189;0;06:30;19.12.2019;;;;;;;;;
878;0,194;0;07:00;19.12.2019;;;;;;;;;
879;0,244;0;07:30;19.12.2019;;;;;;;;;
880;0,305;0;08:00;19.12.2019;;;;;;;;;
881;0,314;0;08:30;19.12.2019;;;;;;;;;
882;0,336;0;09:00;19.12.2019;;;;;;;;;
883;0,347;0;09:30;19.12.2019;;;;;;;;;
884;0,373;0;10:00;19.12.2019;;;;;;;;;
885;0,415;0;10:30;19.12.2019;;;;;;;;;
886;0,38;0;11:00;19.12.2019;;;;;;;;;
887;0,333;0;11:30;19.12.2019;;;;;;;;;
888;0,328;0;12:00;19.12.2019;;;;;;;;;
889;0,336;0;12:30;19.12.2019;;;;;;;;;
890;0,383;0;13:00;19.12.2019;;;;;;;;;
891;0,375;0;13:30;19.12.2019;;;;;;;;;
892;0,311;0;14:00;19.12.2019;;;;;;;;;
893;0,366;0;14:30;19.12.2019;;;;;;;;;
894;0,33;0;15:00;19.12.2019;;;;;;;;;
895;0,284;0;15:30;19.12.2019;;;;;;;;;
896;0,268;0;16:00;19.12.2019;;;;;;;;;
897;0,274;0;16:30;19.12.2019;;;;;;;;;
898;0,268;0;17:00;19.12.2019;;;;;;;;;
899;0,25;0;17:30;19.12.2019;;;;;;;;;
900;0,243;0;18:00;19.12.2019;;;;;;;;;
901;0,231;0;18:30;19.12.2019;;;;;;;;;
902;0,222;0;19:00;19.12.2019;;;;;;;;;
903;0,209;0;19:30;19.12.2019;;;;;;;;;
904;0,205;0;20:00;19.12.2019;;;;;;;;;
905;0,199;0;20:30;19.12.2019;;;;;;;;;
906;0,196;0;21:00;19.12.2019;;;;;;;;;
907;0,186;0;21:30;19.12.2019;;;;;;;;;
908;0,178;0;22:00;19.12.2019;;;;;;;;;
909;0,172;0;22:30;19.12.2019;;;;;;;;;
910;0,161;0;23:00;19.12.2019;;;;;;;;;
911;0,171;0;23:30;19.12.2019;;;;;;;;;
912;0,172;0;00:00;19.12.2019;;;;;;;;;
913;0,17;0;00:30;20.12.2019;;;;;;;;;
914;0,168;0;01:00;20.12.2019;;;;;;;;;
915;0,17;0;01:30;20.12.2019;;;;;;;;;
916;0,169;0;02:00;20.12.2019;;;;;;;;;
917;0,169;0;02:30;20.12.2019;;;;;;;;;
918;0,168;0;03:00;20.12.2019;;;;;;;;;
919;0,168;0;03:30;20.12.2019;;;;;;;;;
920;0,168;0;04:00;20.12.2019;;;;;;;;;
921;0,171;0;04:30;20.12.2019;;;;;;;;;
922;0,171;0;05:00;20.12.2019;;;;;;;;;
923;0,173;0;05:30;20.12.2019;;;;;;;;;
924;0,18;0;06:00;20.12.2019;;;;;;;;;
925;0,181;0;06:30;20.12.2019;;;;;;;;;
926;0,193;0;07:00;20.12.2019;;;;;;;;;
927;0,245;0;07:30;20.12.2019;;;;;;;;;
928;0,279;0;08:00;20.12.2019;;;;;;;;;
929;0,248;0;08:30;20.12.2019;;;;;;;;;
930;0,332;0;09:00;20.12.2019;;;;;;;;;
931;0,349;0;09:30;20.12.2019;;;;;;;;;
932;0,347;0;10:00;20.12.2019;;;;;;;;;
933;0,352;0;10:30;20.12.2019;;;;;;;;;
934;0,378;0;11:00;20.12.2019;;;;;;;;;
935;0,324;0;11:30;20.12.2019;;;;;;;;;
936;0,328;0;12:00;20.12.2019;;;;;;;;;
937;0,35;0;12:30;20.12.2019;;;;;;;;;
938;0,321;0;13:00;20.12.2019;;;;;;;;;
939;0,31;0;13:30;20.12.2019;;;;;;;;;
940;0,305;0;14:00;20.12.2019;;;;;;;;;
941;0,318;0;14:30;20.12.2019;;;;;;;;;
942;0,323;0;15:00;20.12.2019;;;;;;;;;
943;0,292;0;15:30;20.12.2019;;;;;;;;;
944;0,294;0;16:00;20.12.2019;;;;;;;;;
945;0,272;0;16:30;20.12.2019;;;;;;;;;
946;0,267;0;17:00;20.12.2019;;;;;;;;;
947;0,249;0;17:30;20.12.2019;;;;;;;;;
948;0,232;0;18:00;20.12.2019;;;;;;;;;
949;0,216;0;18:30;20.12.2019;;;;;;;;;
950;0,208;0;19:00;20.12.2019;;;;;;;;;
951;0,198;0;19:30;20.12.2019;;;;;;;;;
952;0,192;0;20:00;20.12.2019;;;;;;;;;
953;0,184;0;20:30;20.12.2019;;;;;;;;;
954;0,181;0;21:00;20.12.2019;;;;;;;;;
955;0,174;0;21:30;20.12.2019;;;;;;;;;
956;0,171;0;22:00;20.12.2019;;;;;;;;;
957;0,168;0;22:30;20.12.2019;;;;;;;;;
958;0,167;0;23:00;20.12.2019;;;;;;;;;
959;0,165;0;23:30;20.12.2019;;;;;;;;;
960;0,165;0;00:00;20.12.2019;;;;;;;;;
961;0,164;0;00:30;21.12.2019;;;;;;;;;
962;0,165;0;01:00;21.12.2019;;;;;;;;;
963;0,163;0;01:30;21.12.2019;;;;;;;;;
964;0,164;0;02:00;21.12.2019;;;;;;;;;
965;0,164;0;02:30;21.12.2019;;;;;;;;;
966;0,162;0;03:00;21.12.2019;;;;;;;;;
967;0,163;0;03:30;21.12.2019;;;;;;;;;
968;0,162;0;04:00;21.12.2019;;;;;;;;;
969;0,161;0;04:30;21.12.2019;;;;;;;;;
970;0,162;0;05:00;21.12.2019;;;;;;;;;
971;0,165;0;05:30;21.12.2019;;;;;;;;;
972;0,173;0;06:00;21.12.2019;;;;;;;;;
973;0,174;0;06:30;21.12.2019;;;;;;;;;
974;0,173;0;07:00;21.12.2019;;;;;;;;;
975;0,173;0;07:30;21.12.2019;;;;;;;;;
976;0,169;0;08:00;21.12.2019;;;;;;;;;
977;0,17;0;08:30;21.12.2019;;;;;;;;;
978;0,171;0;09:00;21.12.2019;;;;;;;;;
979;0,17;0;09:30;21.12.2019;;;;;;;;;
980;0,171;0;10:00;21.12.2019;;;;;;;;;
981;0,177;0;10:30;21.12.2019;;;;;;;;;
982;0,177;0;11:00;21.12.2019;;;;;;;;;
983;0,174;0;11:30;21.12.2019;;;;;;;;;
