n;P+;R+;Time;Date
1;0,228;0,021;00:30;01.12.2019
2;0,233;0,024;01:00;01.12.2019
3;0,232;0,022;01:30;01.12.2019
4;0,231;0,016;02:00;01.12.2019
5;0,23;0,02;02:30;01.12.2019
6;0,23;0,016;03:00;01.12.2019
7;0,221;0,016;03:30;01.12.2019
8;0,217;0,012;04:00;01.12.2019
9;0,216;0,013;04:30;01.12.2019
10;0,218;0,013;05:00;01.12.2019
11;0,217;0,015;05:30;01.12.2019
12;0,219;0,015;06:00;01.12.2019
13;0,218;0,015;06:30;01.12.2019
14;0,225;0,022;07:00;01.12.2019
15;0,237;0,021;07:30;01.12.2019
16;0,242;0,024;08:00;01.12.2019
17;0,258;0,025;08:30;01.12.2019
18;0,273;0,025;09:00;01.12.2019
19;0,272;0,026;09:30;01.12.2019
20;0,267;0,025;10:00;01.12.2019
21;0,27;0,025;10:30;01.12.2019
22;0,271;0,025;11:00;01.12.2019
23;0,258;0,024;11:30;01.12.2019
24;0,251;0,025;12:00;01.12.2019
25;0,271;0,025;12:30;01.12.2019
26;0,286;0,025;13:00;01.12.2019
27;0,292;0,025;13:30;01.12.2019
28;0,287;0,026;14:00;01.12.2019
29;0,273;0,025;14:30;01.12.2019
30;0,273;0,025;15:00;01.12.2019
31;0,268;0,025;15:30;01.12.2019
32;0,265;0,025;16:00;01.12.2019
33;0,259;0,025;16:30;01.12.2019
34;0,261;0,025;17:00;01.12.2019
35;0,258;0,026;17:30;01.12.2019
36;0,244;0,024;18:00;01.12.2019
37;0,242;0,024;18:30;01.12.2019
38;0,238;0,019;19:00;01.12.2019
39;0,239;0,023;19:30;01.12.2019
40;0,233;0,023;20:00;01.12.2019
41;0,219;0,02;20:30;01.12.2019
42;0,216;0,021;21:00;01.12.2019
43;0,219;0,019;21:30;01.12.2019
44;0,223;0,02;22:00;01.12.2019
45;0,219;0,019;22:30;01.12.2019
46;0,215;0,017;23:00;01.12.2019
47;0,21;0,018;23:30;01.12.2019
48;0,214;0,018;00:00;01.12.2019
49;0,213;0,02;00:30;02.12.2019
50;0,214;0,021;01:00;02.12.2019
51;0,215;0,014;01:30;02.12.2019
52;0,214;0,017;02:00;02.12.2019
53;0,214;0,015;02:30;02.12.2019
54;0,217;0,015;03:00;02.12.2019
55;0,217;0,016;03:30;02.12.2019
56;0,22;0,016;04:00;02.12.2019
57;0,222;0,017;04:30;02.12.2019
58;0,222;0,022;05:00;02.12.2019
59;0,222;0,017;05:30;02.12.2019
60;0,221;0,022;06:00;02.12.2019
61;0,219;0,019;06:30;02.12.2019
62;0,231;0,024;07:00;02.12.2019
63;0,244;0,025;07:30;02.12.2019
64;0,274;0,026;08:00;02.12.2019
65;0,289;0,028;08:30;02.12.2019
66;0,29;0,027;09:00;02.12.2019
67;0,31;0,028;09:30;02.12.2019
68;0,321;0,029;10:00;02.12.2019
69;0,314;0,028;10:30;02.12.2019
70;0,308;0,028;11:00;02.12.2019
71;0,301;0,027;11:30;02.12.2019
72;0,298;0,028;12:00;02.12.2019
73;0,315;0,027;12:30;02.12.2019
74;0,325;0,028;13:00;02.12.2019
75;0,312;0,028;13:30;02.12.2019
76;0,309;0,029;14:00;02.12.2019
77;0,291;0,028;14:30;02.12.2019
78;0,275;0,028;15:00;02.12.2019
79;0,297;0,028;15:30;02.12.2019
80;0,3;0,028;16:00;02.12.2019
81;0,298;0,028;16:30;02.12.2019
82;0,291;0,028;17:00;02.12.2019
83;0,276;0,028;17:30;02.12.2019
84;0,263;0,028;18:00;02.12.2019
85;0,247;0,027;18:30;02.12.2019
86;0,275;0,027;19:00;02.12.2019
87;0,275;0,028;19:30;02.12.2019
88;0,255;0,027;20:00;02.12.2019
89;0,238;0,026;20:30;02.12.2019
90;0,235;0,026;21:00;02.12.2019
91;0,278;0,031;21:30;02.12.2019
92;0,291;0,033;22:00;02.12.2019
93;0,291;0,034;22:30;02.12.2019
94;0,277;0,03;23:00;02.12.2019
95;0,247;0,026;23:30;02.12.2019
96;0,245;0,024;00:00;02.12.2019
97;0,245;0,02;00:30;03.12.2019
98;0,241;0,027;01:00;03.12.2019
99;0,281;0,034;01:30;03.12.2019
100;0,288;0,034;02:00;03.12.2019
101;0,287;0,034;02:30;03.12.2019
102;0,283;0,034;03:00;03.12.2019
103;0,276;0,032;03:30;03.12.2019
104;0,276;0,034;04:00;03.12.2019
105;0,276;0,032;04:30;03.12.2019
106;0,276;0,034;05:00;03.12.2019
107;0,275;0,034;05:30;03.12.2019
108;0,274;0,035;06:00;03.12.2019
109;0,289;0,036;06:30;03.12.2019
110;0,298;0,035;07:00;03.12.2019
111;0,332;0,036;07:30;03.12.2019
112;0,358;0,04;08:00;03.12.2019
113;0,355;0,034;08:30;03.12.2019
114;0,349;0,035;09:00;03.12.2019
115;0,344;0,034;09:30;03.12.2019
116;0,342;0,044;10:00;03.12.2019
117;0,34;0,036;10:30;03.12.2019
118;0,355;0,034;11:00;03.12.2019
119;0,346;0,035;11:30;03.12.2019
120;0,331;0,034;12:00;03.12.2019
121;0,347;0,037;12:30;03.12.2019
122;0,349;0,037;13:00;03.12.2019
123;0,336;0,035;13:30;03.12.2019
124;0,333;0,033;14:00;03.12.2019
125;0,316;0,033;14:30;03.12.2019
126;0,314;0,034;15:00;03.12.2019
127;0,324;0,033;15:30;03.12.2019
128;0,328;0,034;16:00;03.12.2019
129;0,312;0,033;16:30;03.12.2019
130;0,318;0,033;17:00;03.12.2019
131;0,323;0,032;17:30;03.12.2019
132;0,327;0,033;18:00;03.12.2019
133;0,341;0,034;18:30;03.12.2019
134;0,342;0,034;19:00;03.12.2019
135;0,311;0,033;19:30;03.12.2019
136;0,304;0,033;20:00;03.12.2019
137;0,288;0,034;20:30;03.12.2019
138;0,286;0,034;21:00;03.12.2019
139;0,281;0,034;21:30;03.12.2019
140;0,28;0,034;22:00;03.12.2019
141;0,281;0,034;22:30;03.12.2019
142;0,283;0,035;23:00;03.12.2019
143;0,284;0,035;23:30;03.12.2019
144;0,285;0,034;00:00;03.12.2019
145;0,285;0,033;00:30;04.12.2019
146;0,284;0,034;01:00;04.12.2019
147;0,288;0,034;01:30;04.12.2019
148;0,287;0,034;02:00;04.12.2019
149;0,288;0,033;02:30;04.12.2019
150;0,266;0,03;03:00;04.12.2019
151;0,266;0,028;03:30;04.12.2019
152;0,266;0,03;04:00;04.12.2019
153;0,267;0,031;04:30;04.12.2019
154;0,266;0,033;05:00;04.12.2019
155;0,266;0,034;05:30;04.12.2019
156;0,266;0,035;06:00;04.12.2019
157;0,261;0,034;06:30;04.12.2019
158;0,275;0,034;07:00;04.12.2019
159;0,3;0,036;07:30;04.12.2019
160;0,346;0,039;08:00;04.12.2019
161;0,35;0,034;08:30;04.12.2019
162;0,342;0,034;09:00;04.12.2019
163;0,343;0,034;09:30;04.12.2019
164;0,354;0,034;10:00;04.12.2019
165;0,34;0,034;10:30;04.12.2019
166;0,327;0,033;11:00;04.12.2019
167;0,328;0,033;11:30;04.12.2019
168;0,327;0,034;12:00;04.12.2019
169;0,351;0,037;12:30;04.12.2019
170;0,357;0,061;13:00;04.12.2019
171;0,353;0,036;13:30;04.12.2019
172;0,343;0,034;14:00;04.12.2019
173;0,341;0,035;14:30;04.12.2019
174;0,346;0,036;15:00;04.12.2019
175;0,344;0,035;15:30;04.12.2019
176;0,339;0,034;16:00;04.12.2019
177;0,323;0,034;16:30;04.12.2019
178;0,333;0,034;17:00;04.12.2019
179;0,355;0,035;17:30;04.12.2019
180;0,359;0,036;18:00;04.12.2019
181;0,34;0,069;18:30;04.12.2019
182;0,32;0,045;19:00;04.12.2019
183;0,311;0,06;19:30;04.12.2019
184;0,314;0,071;20:00;04.12.2019
185;0,304;0,053;20:30;04.12.2019
186;0,3;0,052;21:00;04.12.2019
187;0,302;0,067;21:30;04.12.2019
188;0,301;0,078;22:00;04.12.2019
189;0,296;0,081;22:30;04.12.2019
190;0,292;0,072;23:00;04.12.2019
191;0,294;0,017;23:30;04.12.2019
192;0,293;0;00:00;04.12.2019
193;0,293;0;00:30;05.12.2019
194;0,288;0;01:00;05.12.2019
195;0,282;0;01:30;05.12.2019
196;0,284;0;02:00;05.12.2019
197;0,284;0;02:30;05.12.2019
198;0,279;0;03:00;05.12.2019
199;0,28;0;03:30;05.12.2019
200;0,281;0;04:00;05.12.2019
201;0,28;0;04:30;05.12.2019
202;0,281;0;05:00;05.12.2019
203;0,285;0;05:30;05.12.2019
204;0,298;0;06:00;05.12.2019
205;0,295;0;06:30;05.12.2019
206;0,303;0;07:00;05.12.2019
207;0,315;0,001;07:30;05.12.2019
208;0,335;0,016;08:00;05.12.2019
