n;P+;R+;Time;Date
1;0,0039;0,0007;00:30;07.04.2020
2;0,0039;0,0006;01:00;07.04.2020
3;0,004;0,0006;01:30;07.04.2020
4;0,0039;0,0007;02:00;07.04.2020
5;0,0039;0,0007;02:30;07.04.2020
6;0,0039;0,0006;03:00;07.04.2020
7;0,004;0,0007;03:30;07.04.2020
8;0,0039;0,0006;04:00;07.04.2020
9;0,0039;0,0007;04:30;07.04.2020
10;0,004;0,0006;05:00;07.04.2020
11;0,0039;0,0007;05:30;07.04.2020
12;0,0039;0,0006;06:00;07.04.2020
13;0,0038;0,0007;06:30;07.04.2020
14;0,0037;0,0006;07:00;07.04.2020
15;0,0037;0,0007;07:30;07.04.2020
16;0,0039;0,0006;08:00;07.04.2020
17;0,0041;0,0006;08:30;07.04.2020
18;0,0048;0,0006;09:00;07.04.2020
19;0,0053;0,0006;09:30;07.04.2020
20;0,0054;0,0005;10:00;07.04.2020
21;0,0054;0,0006;10:30;07.04.2020
22;0,0053;0,0006;11:00;07.04.2020
23;0,0054;0,0005;11:30;07.04.2020
24;0,0055;0,0005;12:00;07.04.2020
25;0,0056;0,0005;12:30;07.04.2020
26;0,0055;0,0005;13:00;07.04.2020
27;0,0056;0,0004;13:30;07.04.2020
28;0,0054;0,0005;14:00;07.04.2020
29;0,0056;0,0005;14:30;07.04.2020
30;0,0054;0,0005;15:00;07.04.2020
31;0,0053;0,0005;15:30;07.04.2020
32;0,0055;0,0005;16:00;07.04.2020
33;0,0054;0,0005;16:30;07.04.2020
34;0,0053;0,0006;17:00;07.04.2020
35;0,0049;0,0005;17:30;07.04.2020
36;0,0048;0,0005;18:00;07.04.2020
37;0,0047;0,0005;18:30;07.04.2020
38;0,0044;0,0007;19:00;07.04.2020
39;0,0043;0,0006;19:30;07.04.2020
40;0,0044;0,0007;20:00;07.04.2020
41;0,0041;0,0006;20:30;07.04.2020
42;0,0042;0,0007;21:00;07.04.2020
43;0,0042;0,0007;21:30;07.04.2020
44;0,0041;0,0005;22:00;07.04.2020
45;0,0042;0,0007;22:30;07.04.2020
46;0,0041;0,0006;23:00;07.04.2020
47;0,0041;0,0006;23:30;07.04.2020
48;0,0041;0,0006;00:00;07.04.2020
