n;P+;R+;Time;Date
1;0,354;0,1;00:30;16.09.2019
2;0,358;0,099;01:00;16.09.2019
3;0,361;0,095;01:30;16.09.2019
4;0,396;0,089;02:00;16.09.2019
5;0,402;0,096;02:30;16.09.2019
6;0,447;0,096;03:00;16.09.2019
7;0,555;0,097;03:30;16.09.2019
8;0,592;0,098;04:00;16.09.2019
9;0,609;0,1;04:30;16.09.2019
10;0,631;0,098;05:00;16.09.2019
11;0,652;0,1;05:30;16.09.2019
12;0,657;0,104;06:00;16.09.2019
13;0,662;0,101;06:30;16.09.2019
14;0,665;0,101;07:00;16.09.2019
15;0,658;0,103;07:30;16.09.2019
16;0,677;0,109;08:00;16.09.2019
17;0,678;0,104;08:30;16.09.2019
18;0,669;0,111;09:00;16.09.2019
19;0,667;0,108;09:30;16.09.2019
20;0,648;0,107;10:00;16.09.2019
21;0,634;0,111;10:30;16.09.2019
22;0,635;0,111;11:00;16.09.2019
23;0,64;0,108;11:30;16.09.2019
24;0,644;0,113;12:00;16.09.2019
25;0,625;0,108;12:30;16.09.2019
26;0,621;0,115;13:00;16.09.2019
27;0,601;0,11;13:30;16.09.2019
28;0,593;0,106;14:00;16.09.2019
29;0,564;0,11;14:30;16.09.2019
30;0,538;0,106;15:00;16.09.2019
31;0,52;0,107;15:30;16.09.2019
32;0,507;0,102;16:00;16.09.2019
33;0,49;0,107;16:30;16.09.2019
34;0,47;0,1;17:00;16.09.2019
35;0,448;0,104;17:30;16.09.2019
36;0,425;0,102;18:00;16.09.2019
37;0,414;0,108;18:30;16.09.2019
38;0,402;0,106;19:00;16.09.2019
39;0,39;0,104;19:30;16.09.2019
40;0,392;0,107;20:00;16.09.2019
41;0,385;0,101;20:30;16.09.2019
42;0,386;0,103;21:00;16.09.2019
43;0,388;0,102;21:30;16.09.2019
44;0,39;0,106;22:00;16.09.2019
45;0,403;0,102;22:30;16.09.2019
46;0,402;0,107;23:00;16.09.2019
47;0,41;0,106;23:30;16.09.2019
48;0,4;0,107;00:00;16.09.2019
49;0,395;0,103;00:30;17.09.2019
50;0,38;0,102;01:00;17.09.2019
51;0,399;0,102;01:30;17.09.2019
52;0,424;0,099;02:00;17.09.2019
53;0,441;0,103;02:30;17.09.2019
54;0,493;0,102;03:00;17.09.2019
55;0,621;0,108;03:30;17.09.2019
56;0,584;0,109;04:00;17.09.2019
57;0,596;0,107;04:30;17.09.2019
58;0,64;0,105;05:00;17.09.2019
59;0,678;0,112;05:30;17.09.2019
60;0,655;0,106;06:00;17.09.2019
61;0,673;0,109;06:30;17.09.2019
62;0,65;0,109;07:00;17.09.2019
63;0,654;0,11;07:30;17.09.2019
64;0,66;0,113;08:00;17.09.2019
65;0,685;0,117;08:30;17.09.2019
66;0,69;0,118;09:00;17.09.2019
67;0,664;0,115;09:30;17.09.2019
68;0,68;0,116;10:00;17.09.2019
69;0,665;0,115;10:30;17.09.2019
70;0,641;0,121;11:00;17.09.2019
71;0,623;0,116;11:30;17.09.2019
72;0,629;0,122;12:00;17.09.2019
73;0,616;0,125;12:30;17.09.2019
74;0,628;0,133;13:00;17.09.2019
75;0,61;0,133;13:30;17.09.2019
76;0,596;0,132;14:00;17.09.2019
77;0,563;0,127;14:30;17.09.2019
78;0,543;0,128;15:00;17.09.2019
79;0,528;0,126;15:30;17.09.2019
80;0,51;0,125;16:00;17.09.2019
81;0,508;0,127;16:30;17.09.2019
82;0,491;0,126;17:00;17.09.2019
83;0,47;0,126;17:30;17.09.2019
84;0,434;0,124;18:00;17.09.2019
85;0,426;0,123;18:30;17.09.2019
86;0,413;0,122;19:00;17.09.2019
87;0,416;0,125;19:30;17.09.2019
88;0,401;0,122;20:00;17.09.2019
89;0,413;0,129;20:30;17.09.2019
90;0,4;0,13;21:00;17.09.2019
91;0,409;0,129;21:30;17.09.2019
92;0,392;0,127;22:00;17.09.2019
93;0,41;0,124;22:30;17.09.2019
94;0,411;0,122;23:00;17.09.2019
95;0,414;0,122;23:30;17.09.2019
96;0,404;0,125;00:00;17.09.2019
97;0,415;0,127;00:30;18.09.2019
98;0,4;0,126;01:00;18.09.2019
99;0,415;0,125;01:30;18.09.2019
100;0,455;0,123;02:00;18.09.2019
101;0,471;0,125;02:30;18.09.2019
102;0,538;0,123;03:00;18.09.2019
103;0,61;0,128;03:30;18.09.2019
104;0,591;0,123;04:00;18.09.2019
105;0,6;0,118;04:30;18.09.2019
106;0,645;0,124;05:00;18.09.2019
107;0,668;0,125;05:30;18.09.2019
108;0,665;0,123;06:00;18.09.2019
109;0,698;0,124;06:30;18.09.2019
110;0,657;0,129;07:00;18.09.2019
111;0,665;0,125;07:30;18.09.2019
112;0,663;0,129;08:00;18.09.2019
113;0,667;0,127;08:30;18.09.2019
114;0,657;0,131;09:00;18.09.2019
115;0,64;0,132;09:30;18.09.2019
116;0,649;0,137;10:00;18.09.2019
117;0,647;0,139;10:30;18.09.2019
118;0,639;0,137;11:00;18.09.2019
119;0,642;0,128;11:30;18.09.2019
120;0,644;0,134;12:00;18.09.2019
