№;P+, кВт;Время;Дата
1;0.3950;00:30;01.03.2019
2;0.5360;01:00;01.03.2019
3;0.5360;01:30;01.03.2019
4;0.4330;02:00;01.03.2019
5;0.2990;02:30;01.03.2019
6;0.2990;03:00;01.03.2019
7;0.3650;03:30;01.03.2019
8;0.5330;04:00;01.03.2019
9;0.5330;04:30;01.03.2019
10;0.4040;05:00;01.03.2019
11;0.2990;05:30;01.03.2019
12;0.2990;06:00;01.03.2019
13;0.3890;06:30;01.03.2019
14;0.5390;07:00;01.03.2019
15;0.5410;07:30;01.03.2019
16;0.4000;08:00;01.03.2019
17;0.2990;08:30;01.03.2019
18;0.2980;09:00;01.03.2019
19;0.3910;09:30;01.03.2019
20;0.5360;10:00;01.03.2019
21;0.5250;10:30;01.03.2019
22;0.5360;11:00;01.03.2019
23;0.5580;11:30;01.03.2019
24;0.4530;12:00;01.03.2019
25;0.4150;12:30;01.03.2019
26;0.3760;13:00;01.03.2019
27;0.3670;13:30;01.03.2019
28;0.3710;14:00;01.03.2019
29;0.3790;14:30;01.03.2019
30;0.3710;15:00;01.03.2019
31;0.3760;15:30;01.03.2019
32;0.3800;16:00;01.03.2019
33;0.3810;16:30;01.03.2019
34;0.3770;17:00;01.03.2019
35;0.3750;17:30;01.03.2019
36;0.3680;18:00;01.03.2019
37;0.3600;18:30;01.03.2019
38;0.3560;19:00;01.03.2019
39;0.3540;19:30;01.03.2019
40;0.3500;20:00;01.03.2019
41;0.3480;20:30;01.03.2019
42;0.3450;21:00;01.03.2019
43;0.3420;21:30;01.03.2019
44;0.3410;22:00;01.03.2019
45;0.3390;22:30;01.03.2019
46;0.3350;23:00;01.03.2019
47;0.3350;23:30;01.03.2019
48;0.3340;00:00;02.03.2019
49;0.3220;00:30;02.03.2019
50;0.4650;01:00;02.03.2019
51;0.6460;01:30;02.03.2019
52;0.6710;02:00;02.03.2019
53;0.6800;02:30;02.03.2019
54;0.7060;03:00;02.03.2019
55;0.7090;03:30;02.03.2019
56;0.7020;04:00;02.03.2019
57;0.7070;04:30;02.03.2019
58;0.7040;05:00;02.03.2019
59;0.6910;05:30;02.03.2019
60;0.6960;06:00;02.03.2019
61;0.6890;06:30;02.03.2019
62;0.6940;07:00;02.03.2019
63;0.6840;07:30;02.03.2019
64;0.6850;08:00;02.03.2019
65;0.6940;08:30;02.03.2019
66;0.7010;09:00;02.03.2019
67;0.7230;09:30;02.03.2019
68;0.7300;10:00;02.03.2019
69;0.7480;10:30;02.03.2019
70;0.7730;11:00;02.03.2019
71;0.7900;11:30;02.03.2019
72;0.7920;12:00;02.03.2019
73;0.7860;12:30;02.03.2019
74;0.7990;13:00;02.03.2019
75;0.8200;13:30;02.03.2019
76;0.4400;14:00;02.03.2019
77;0.4450;14:30;02.03.2019
78;0.3380;15:00;02.03.2019
79;0.3540;15:30;02.03.2019
80;0.3500;16:00;02.03.2019
81;0.3500;16:30;02.03.2019
82;0.3500;17:00;02.03.2019
83;0.3520;17:30;02.03.2019
84;0.3480;18:00;02.03.2019
85;0.3240;18:30;02.03.2019
86;0.4010;19:00;02.03.2019
87;0.7080;19:30;02.03.2019
88;0.7110;20:00;02.03.2019
89;0.7300;20:30;02.03.2019
90;0.3490;21:00;02.03.2019
91;0.3910;21:30;02.03.2019
92;0.3490;22:00;02.03.2019
93;0.3300;22:30;02.03.2019
94;0.2870;23:00;02.03.2019
95;0.2500;23:30;02.03.2019
96;0.2520;00:00;03.03.2019
97;0.3270;00:30;03.03.2019
98;0.9850;01:00;03.03.2019
99;0.4470;01:30;03.03.2019
100;0.4430;02:00;03.03.2019
101;0.3280;02:30;03.03.2019
102;0.3210;03:00;03.03.2019
103;0.5550;03:30;03.03.2019
104;0.6550;04:00;03.03.2019
105;0.6640;04:30;03.03.2019
106;0.6800;05:00;03.03.2019
107;0.6850;05:30;03.03.2019
108;0.6830;06:00;03.03.2019
109;0.6850;06:30;03.03.2019
110;0.6910;07:00;03.03.2019
