n;P+;R+;Time;Date
;3,762;0;00:30;16.12.2019
;3,72;0;01:00;16.12.2019
;3,706;0,002;01:30;16.12.2019
;3,606;0;02:00;16.12.2019
;3,612;0;02:30;16.12.2019
;3,586;0;03:00;16.12.2019
;3,6;0;03:30;16.12.2019
;3,592;0;04:00;16.12.2019
;3,582;0;04:30;16.12.2019
;3,6;0;05:00;16.12.2019
;3,586;0,002;05:30;16.12.2019
;3,616;0;06:00;16.12.2019
;3,666;0;06:30;16.12.2019
;3,688;0;07:00;16.12.2019
;3,786;0;07:30;16.12.2019
;3,94;0;08:00;16.12.2019
;4,042;0;08:30;16.12.2019
;4,206;0;09:00;16.12.2019
;4,228;0;09:30;16.12.2019
;4,232;0;10:00;16.12.2019
;4,116;0;10:30;16.12.2019
;4,25;0,002;11:00;16.12.2019
;4,174;0;11:30;16.12.2019
;4,11;0;12:00;16.12.2019
;4,176;0;12:30;16.12.2019
;4,22;0;13:00;16.12.2019
;4,276;0;13:30;16.12.2019
;4,264;0;14:00;16.12.2019
;4,254;0;14:30;16.12.2019
;4,204;0;15:00;16.12.2019
;4,168;0;15:30;16.12.2019
;4,202;0;16:00;16.12.2019
;4,14;0;16:30;16.12.2019
;4,16;0,002;17:00;16.12.2019
;4,18;0;17:30;16.12.2019
;4,12;0;18:00;16.12.2019
;4,12;0;18:30;16.12.2019
;4,124;0;19:00;16.12.2019
;4,07;0;19:30;16.12.2019
;4,018;0;20:00;16.12.2019
;3,956;0;20:30;16.12.2019
;4;0;21:00;16.12.2019
;4,02;0;21:30;16.12.2019
;3,948;0;22:00;16.12.2019
;3,906;0;22:30;16.12.2019
;3,946;0,002;23:00;16.12.2019
;3,874;0;23:30;16.12.2019
;3,818;0;00:00;16.12.2019
;3,75;0;00:30;17.12.2019
;3,718;0;01:00;17.12.2019
;3,66;0;01:30;17.12.2019
;3,66;0;02:00;17.12.2019
;3,638;0;02:30;17.12.2019
;3,634;0;03:00;17.12.2019
;3,608;0,002;03:30;17.12.2019
;3,598;0;04:00;17.12.2019
;3,6;0;04:30;17.12.2019
;3,598;0;05:00;17.12.2019
;3,608;0;05:30;17.12.2019
;3,62;0;06:00;17.12.2019
;3,652;0;06:30;17.12.2019
;3,698;0;07:00;17.12.2019
;3,814;0;07:30;17.12.2019
;3,894;0;08:00;17.12.2019
;4,004;0,002;08:30;17.12.2019
;4,158;0;09:00;17.12.2019
;4,17;0;09:30;17.12.2019
;4,148;0;10:00;17.12.2019
;4,296;0;10:30;17.12.2019
;4,192;0;11:00;17.12.2019
;4,288;0;11:30;17.12.2019
;4,3;0;12:00;17.12.2019
;4,356;0;12:30;17.12.2019
;4,308;0;13:00;17.12.2019
;4,244;0;13:30;17.12.2019
;4,264;0;14:00;17.12.2019
;4,318;0,002;14:30;17.12.2019
;4,3;0;15:00;17.12.2019
;4,266;0;15:30;17.12.2019
;4,276;0;16:00;17.12.2019
;4,194;0;16:30;17.12.2019
;4,218;0;17:00;17.12.2019
;4,198;0;17:30;17.12.2019
;4,156;0;18:00;17.12.2019
;4,104;0;18:30;17.12.2019
;4,026;0;19:00;17.12.2019
;4;0;19:30;17.12.2019
;3,932;0,002;20:00;17.12.2019
;3,93;0;20:30;17.12.2019
;3,97;0;21:00;17.12.2019
;3,938;0;21:30;17.12.2019
;3,952;0;22:00;17.12.2019
;4,014;0;22:30;17.12.2019
;3,88;0;23:00;17.12.2019
;3,806;0;23:30;17.12.2019
;3,812;0;00:00;17.12.2019
;3,74;0,002;00:30;18.12.2019
;3,646;0;01:00;18.12.2019
;3,648;0;01:30;18.12.2019
;3,592;0;02:00;18.12.2019
;3,574;0;02:30;18.12.2019
;3,57;0;03:00;18.12.2019
;3,598;0;03:30;18.12.2019
;3,586;0,002;04:00;18.12.2019
;3,576;0;04:30;18.12.2019
;3,574;0;05:00;18.12.2019
;3,584;0;05:30;18.12.2019
;3,598;0;06:00;18.12.2019
;3,608;0;06:30;18.12.2019
;3,638;0;07:00;18.12.2019
;3,74;0;07:30;18.12.2019
;3,796;0,002;08:00;18.12.2019
;3,98;0;08:30;18.12.2019
;4,14;0;09:00;18.12.2019
;4,072;0;09:30;18.12.2019
;4,12;0;10:00;18.12.2019
;4,1;0;10:30;18.12.2019
;4,248;0;11:00;18.12.2019
;4,258;0;11:30;18.12.2019
;4,196;0;12:00;18.12.2019
;4,154;0;12:30;18.12.2019
;4,244;0,002;13:00;18.12.2019
;4,218;0;13:30;18.12.2019
;4,19;0;14:00;18.12.2019
;4,272;0;14:30;18.12.2019
;4,288;0;15:00;18.12.2019
;4,208;0;15:30;18.12.2019
;4,294;0;16:00;18.12.2019
;4,176;0;16:30;18.12.2019
;4,178;0;17:00;18.12.2019
;4,18;0;17:30;18.12.2019
;4,13;0;18:00;18.12.2019
;4,066;0,002;18:30;18.12.2019
;4,082;0;19:00;18.12.2019
;4,01;0;19:30;18.12.2019
;4,016;0;20:00;18.12.2019
;4,048;0;20:30;18.12.2019
;3,91;0;21:00;18.12.2019
;3,932;0;21:30;18.12.2019
;3,892;0;22:00;18.12.2019
;3,842;0;22:30;18.12.2019
;3,858;0;23:00;18.12.2019
;3,792;0,002;23:30;18.12.2019
;3,82;0;00:00;18.12.2019
