№;P+, кВт;Время;Дата
1;0.4760;00:30;01.03.2019
2;0.4750;01:00;01.03.2019
3;0.4740;01:30;01.03.2019
4;0.4740;02:00;01.03.2019
5;0.4740;02:30;01.03.2019
6;0.4730;03:00;01.03.2019
7;0.4730;03:30;01.03.2019
8;0.4720;04:00;01.03.2019
9;0.4710;04:30;01.03.2019
10;0.4720;05:00;01.03.2019
11;0.4710;05:30;01.03.2019
12;0.4720;06:00;01.03.2019
13;0.4710;06:30;01.03.2019
14;0.4740;07:00;01.03.2019
15;0.4820;07:30;01.03.2019
16;0.4870;08:00;01.03.2019
17;0.4950;08:30;01.03.2019
18;0.5010;09:00;01.03.2019
19;0.5040;09:30;01.03.2019
20;0.4980;10:00;01.03.2019
21;0.4990;10:30;01.03.2019
22;0.4990;11:00;01.03.2019
23;0.5010;11:30;01.03.2019
24;0.5060;12:00;01.03.2019
25;0.5020;12:30;01.03.2019
26;0.4990;13:00;01.03.2019
27;0.4990;13:30;01.03.2019
28;0.5010;14:00;01.03.2019
29;0.5010;14:30;01.03.2019
30;0.4970;15:00;01.03.2019
31;0.4910;15:30;01.03.2019
32;0.4970;16:00;01.03.2019
33;0.4940;16:30;01.03.2019
34;0.5000;17:00;01.03.2019
35;0.4960;17:30;01.03.2019
36;0.4980;18:00;01.03.2019
37;0.4960;18:30;01.03.2019
38;0.5000;19:00;01.03.2019
39;0.4880;19:30;01.03.2019
40;0.4890;20:00;01.03.2019
41;0.4890;20:30;01.03.2019
42;0.4900;21:00;01.03.2019
43;0.4870;21:30;01.03.2019
44;0.4850;22:00;01.03.2019
45;0.4840;22:30;01.03.2019
46;0.4820;23:00;01.03.2019
47;0.4830;23:30;01.03.2019
48;0.4800;00:00;02.03.2019
49;0.4780;00:30;02.03.2019
50;0.4770;01:00;02.03.2019
51;0.4770;01:30;02.03.2019
52;0.4770;02:00;02.03.2019
53;0.4790;02:30;02.03.2019
54;0.4810;03:00;02.03.2019
55;0.4790;03:30;02.03.2019
56;0.4770;04:00;02.03.2019
57;0.4790;04:30;02.03.2019
