n;P+;R+;Time;Date
;0,079;0,001;00:30;17.02.2020
;0,080;0,001;01:00;17.02.2020
;0,079;0,000;01:30;17.02.2020
;0,080;0,001;02:00;17.02.2020
;0,077;0,001;02:30;17.02.2020
;0,077;0,000;03:00;17.02.2020
;0,078;0,000;03:30;17.02.2020
;0,080;0,000;04:00;17.02.2020
;0,079;0,001;04:30;17.02.2020
;0,080;0,001;05:00;17.02.2020
;0,092;0,000;05:30;17.02.2020
;0,173;0,001;06:00;17.02.2020
;0,195;0,001;06:30;17.02.2020
;0,193;0,001;07:00;17.02.2020
;0,207;0,001;07:30;17.02.2020
;0,249;0,002;08:00;17.02.2020
;0,252;0,003;08:30;17.02.2020
;0,261;0,006;09:00;17.02.2020
;0,259;0,007;09:30;17.02.2020
;0,266;0,004;10:00;17.02.2020
;0,264;0,005;10:30;17.02.2020
;0,264;0,008;11:00;17.02.2020
;0,259;0,003;11:30;17.02.2020
;0,272;0,012;12:00;17.02.2020
;0,283;0,011;12:30;17.02.2020
;0,263;0,008;13:00;17.02.2020
;0,259;0,008;13:30;17.02.2020
;0,242;0,007;14:00;17.02.2020
;0,241;0,009;14:30;17.02.2020
;0,222;0,004;15:00;17.02.2020
;0,214;0,002;15:30;17.02.2020
;0,215;0,002;16:00;17.02.2020
;0,216;0,007;16:30;17.02.2020
;0,216;0,005;17:00;17.02.2020
;0,211;0,001;17:30;17.02.2020
;0,203;0,003;18:00;17.02.2020
;0,197;0,000;18:30;17.02.2020
;0,189;0,000;19:00;17.02.2020
;0,186;0,000;19:30;17.02.2020
;0,176;0,000;20:00;17.02.2020
;0,175;0,001;20:30;17.02.2020
;0,166;0,000;21:00;17.02.2020
;0,151;0,000;21:30;17.02.2020
;0,132;0,000;22:00;17.02.2020
;0,112;0,001;22:30;17.02.2020
;0,096;0,000;23:00;17.02.2020
;0,090;0,000;23:30;17.02.2020
;0,091;0,000;00:00;17.02.2020
;0,092;0,000;00:30;18.02.2020
;0,091;0,001;01:00;18.02.2020
;0,090;0,000;01:30;18.02.2020
;0,088;0,000;02:00;18.02.2020
;0,087;0,000;02:30;18.02.2020
;0,089;0,001;03:00;18.02.2020
;0,090;0,000;03:30;18.02.2020
;0,101;0,000;04:00;18.02.2020
;0,098;0,000;04:30;18.02.2020
;0,100;0,000;05:00;18.02.2020
;0,119;0,001;05:30;18.02.2020
;0,190;0,001;06:00;18.02.2020
;0,209;0,001;06:30;18.02.2020
;0,223;0,001;07:00;18.02.2020
;0,238;0,000;07:30;18.02.2020
;0,258;0,001;08:00;18.02.2020
;0,255;0,005;08:30;18.02.2020
