n;P+;R+;Time;Date
;3,756;0;00:30;25.12.2019
;3,774;0,002;01:00;25.12.2019
;3,732;0;01:30;25.12.2019
;3,664;0;02:00;25.12.2019
;3,648;0;02:30;25.12.2019
;3,672;0;03:00;25.12.2019
;3,63;0;03:30;25.12.2019
;3,626;0;04:00;25.12.2019
;3,656;0;04:30;25.12.2019
;3,658;0;05:00;25.12.2019
;3,618;0;05:30;25.12.2019
;3,648;0;06:00;25.12.2019
;3,722;0;06:30;25.12.2019
;3,756;0,002;07:00;25.12.2019
;3,892;0;07:30;25.12.2019
;3,946;0;08:00;25.12.2019
;4,064;0;08:30;25.12.2019
;4,174;0;09:00;25.12.2019
;4,206;0;09:30;25.12.2019
;4,168;0;10:00;25.12.2019
;4,218;0;10:30;25.12.2019
;4,224;0;11:00;25.12.2019
;4,202;0;11:30;25.12.2019
;4,274;0;12:00;25.12.2019
;4,224;0;12:30;25.12.2019
;4,216;0;13:00;25.12.2019
;4,19;0;13:30;25.12.2019
;4,236;0;14:00;25.12.2019
;4,256;0;14:30;25.12.2019
;4,228;0;15:00;25.12.2019
;4,222;0,002;15:30;25.12.2019
;4,238;0;16:00;25.12.2019
;4,184;0;16:30;25.12.2019
;4,216;0;17:00;25.12.2019
;4,298;0;17:30;25.12.2019
;4,164;0;18:00;25.12.2019
;4,098;0;18:30;25.12.2019
;4,116;0;19:00;25.12.2019
;4,11;0;19:30;25.12.2019
;4,064;0;20:00;25.12.2019
;4,076;0;20:30;25.12.2019
;4,018;0;21:00;25.12.2019
;4,03;0;21:30;25.12.2019
;4,07;0;22:00;25.12.2019
;3,966;0;22:30;25.12.2019
;3,982;0;23:00;25.12.2019
;3,866;0;23:30;25.12.2019
;3,8;0;00:00;25.12.2019
;3,58;0,002;00:30;26.12.2019
;3,538;0;01:00;26.12.2019
;3,464;0,002;01:30;26.12.2019
;3,47;0;02:00;26.12.2019
;3,434;0,002;02:30;26.12.2019
;3,428;0;03:00;26.12.2019
;3,43;0,002;03:30;26.12.2019
;3,444;0;04:00;26.12.2019
;3,438;0,002;04:30;26.12.2019
;3,434;0;05:00;26.12.2019
;3,46;0,002;05:30;26.12.2019
;3,46;0;06:00;26.12.2019
;3,482;0,002;06:30;26.12.2019
;3,54;0;07:00;26.12.2019
;3,614;0,002;07:30;26.12.2019
;3,796;0,002;08:00;26.12.2019
;3,904;0,002;08:30;26.12.2019
;3,978;0;09:00;26.12.2019
;4,05;0,002;09:30;26.12.2019
;4,064;0,002;10:00;26.12.2019
;4,086;0,002;10:30;26.12.2019
;4,04;0;11:00;26.12.2019
;4;0,002;11:30;26.12.2019
;4,032;0;12:00;26.12.2019
;4,104;0;12:30;26.12.2019
;4,146;0;13:00;26.12.2019
;4,094;0;13:30;26.12.2019
;4,086;0;14:00;26.12.2019
;4,036;0;14:30;26.12.2019
;4,12;0,002;15:00;26.12.2019
;4,09;0;15:30;26.12.2019
;4,106;0;16:00;26.12.2019
;4,042;0;16:30;26.12.2019
;4,076;0;17:00;26.12.2019
;3,984;0;17:30;26.12.2019
;4,032;0,002;18:00;26.12.2019
;3,952;0;18:30;26.12.2019
;3,874;0,002;19:00;26.12.2019
;3,896;0;19:30;26.12.2019
;3,756;0;20:00;26.12.2019
;3,812;0,002;20:30;26.12.2019
;3,882;0;21:00;26.12.2019
;3,794;0,002;21:30;26.12.2019
;3,756;0;22:00;26.12.2019
;3,792;0,002;22:30;26.12.2019
;3,746;0;23:00;26.12.2019
;3,63;0,002;23:30;26.12.2019
;3,566;0,002;00:00;26.12.2019
