n;P+;R+;Time;Date
2;0,0379;0,0045;00:30;01.01.2020
3;0,038;0,0049;01:00;01.01.2020
4;0,0379;0,0048;01:30;01.01.2020
5;0,0383;0,0043;02:00;01.01.2020
6;0,0387;0,0047;02:30;01.01.2020
7;0,0379;0,0045;03:00;01.01.2020
8;0,0383;0,0044;03:30;01.01.2020
9;0,0388;0,0045;04:00;01.01.2020
10;0,0379;0,0043;04:30;01.01.2020
11;0,0377;0,0048;05:00;01.01.2020
12;0,0385;0,0051;05:30;01.01.2020
13;0,0388;0,0046;06:00;01.01.2020
14;0,0386;0,0048;06:30;01.01.2020
15;0,0394;0,0049;07:00;01.01.2020
16;0,0398;0,0043;07:30;01.01.2020
17;0,0392;0,0046;08:00;01.01.2020
18;0,0399;0,0044;08:30;01.01.2020
19;0,0376;0,005;09:00;01.01.2020
20;0,0366;0,0054;09:30;01.01.2020
21;0,0379;0,0046;10:00;01.01.2020
22;0,0372;0,005;10:30;01.01.2020
23;0,0372;0,0051;11:00;01.01.2020
24;0,0378;0,0047;11:30;01.01.2020
25;0,0381;0,0049;12:00;01.01.2020
26;0,0377;0,0047;12:30;01.01.2020
27;0,038;0,0052;13:00;01.01.2020
28;0,0366;0,0055;13:30;01.01.2020
29;0,0374;0,0049;14:00;01.01.2020
30;0,0377;0,0048;14:30;01.01.2020
31;0,0371;0,005;15:00;01.01.2020
32;0,0381;0,0048;15:30;01.01.2020
33;0,0379;0,005;16:00;01.01.2020
34;0,0385;0,004;16:30;01.01.2020
35;0,0405;0,0041;17:00;01.01.2020
36;0,0397;0,0048;17:30;01.01.2020
37;0,0399;0,0045;18:00;01.01.2020
38;0,0397;0,0043;18:30;01.01.2020
39;0,0395;0,0044;19:00;01.01.2020
40;0,0403;0,0043;19:30;01.01.2020
41;0,0394;0,0049;20:00;01.01.2020
42;0,0396;0,0039;20:30;01.01.2020
43;0,0397;0,0047;21:00;01.01.2020
44;0,0393;0,005;21:30;01.01.2020
45;0,0407;0,0048;22:00;01.01.2020
46;0,0397;0,0047;22:30;01.01.2020
47;0,0398;0,0049;23:00;01.01.2020
48;0,04;0,0046;23:30;01.01.2020
49;0,039;0,005;00:00;01.01.2020
50;0,0398;0,0042;00:30;02.01.2020
51;0,039;0,005;01:00;02.01.2020
52;0,0385;0,005;01:30;02.01.2020
53;0,0394;0,0049;02:00;02.01.2020
54;0,0385;0,005;02:30;02.01.2020
55;0,0391;0,005;03:00;02.01.2020
