№;P+, кВт;Q+, квар;Время;Дата
1;0.2260;0;00:30;01.03.2019
2;0.2230;0;01:00;01.03.2019
3;0.2210;0;01:30;01.03.2019
4;0.2240;0;02:00;01.03.2019
5;0.2250;0;02:30;01.03.2019
6;0.2240;0;03:00;01.03.2019
7;0.2230;0;03:30;01.03.2019
8;0.2240;0;04:00;01.03.2019
9;0.2220;0;04:30;01.03.2019
10;0.2200;0;05:00;01.03.2019
11;0.2190;0;05:30;01.03.2019
12;0.2190;0;06:00;01.03.2019
13;0.2220;0;06:30;01.03.2019
14;0.2340;0;07:00;01.03.2019
15;0.2770;0;07:30;01.03.2019
16;0.2940;0;08:00;01.03.2019
17;0.3360;0;08:30;01.03.2019
18;0.4330;0;09:00;01.03.2019
19;0.4720;0;09:30;01.03.2019
20;0.4970;0;10:00;01.03.2019
21;0.5070;0;10:30;01.03.2019
22;0.5150;0;11:00;01.03.2019
23;0.5170;0;11:30;01.03.2019
24;0.5140;0;12:00;01.03.2019
25;0.5040;0;12:30;01.03.2019
26;0.5050;0;13:00;01.03.2019
27;0.5060;0;13:30;01.03.2019
28;0.5120;0;14:00;01.03.2019
29;0.5180;0;14:30;01.03.2019
30;0.5180;0;15:00;01.03.2019
31;0.5190;0;15:30;01.03.2019
32;0.5180;0;16:00;01.03.2019
33;0.5160;0;16:30;01.03.2019
34;0.5060;0;17:00;01.03.2019
35;0.4700;0;17:30;01.03.2019
36;0.4460;0;18:00;01.03.2019
37;0.4300;0;18:30;01.03.2019
38;0.4170;0;19:00;01.03.2019
39;0.4110;0;19:30;01.03.2019
40;0.3950;0;20:00;01.03.2019
41;0.3370;0;20:30;01.03.2019
42;0.3230;0;21:00;01.03.2019
43;0.2470;0;21:30;01.03.2019
44;0.2400;0;22:00;01.03.2019
45;0.2350;0;22:30;01.03.2019
46;0.2290;0;23:00;01.03.2019
47;0.2260;0;23:30;01.03.2019
48;0.2160;0;00:00;02.03.2019
49;0.2040;0;00:30;02.03.2019
50;0.2030;0;01:00;02.03.2019
51;0.2010;0;01:30;02.03.2019
52;0.2010;0;02:00;02.03.2019
53;0.2000;0;02:30;02.03.2019
54;0.2010;0;03:00;02.03.2019
55;0.2010;0;03:30;02.03.2019
56;0.2000;0;04:00;02.03.2019
57;0.2000;0;04:30;02.03.2019
58;0.1980;0;05:00;02.03.2019
59;0.1990;0;05:30;02.03.2019
60;0.1980;0;06:00;02.03.2019
61;0.1980;0;06:30;02.03.2019
62;0.1990;0;07:00;02.03.2019
63;0.2340;0;07:30;02.03.2019
64;0.2350;0;08:00;02.03.2019
65;0.2370;0;08:30;02.03.2019
66;0.3290;0;09:00;02.03.2019
67;0.3310;0;09:30;02.03.2019
68;0.3310;0;10:00;02.03.2019
69;0.3310;0;10:30;02.03.2019
70;0.3300;0;11:00;02.03.2019
71;0.3300;0;11:30;02.03.2019
72;0.3300;0;12:00;02.03.2019
73;0.3310;0;12:30;02.03.2019
74;0.3290;0;13:00;02.03.2019
75;0.3290;0;13:30;02.03.2019
76;0.3290;0;14:00;02.03.2019
77;0.3280;0;14:30;02.03.2019
78;0.3250;0;15:00;02.03.2019
79;0.3240;0;15:30;02.03.2019
80;0.3240;0;16:00;02.03.2019
81;0.3220;0;16:30;02.03.2019
82;0.3210;0;17:00;02.03.2019
83;0.3210;0;17:30;02.03.2019
84;0.3230;0;18:00;02.03.2019
85;0.3210;0;18:30;02.03.2019
86;0.3210;0;19:00;02.03.2019
87;0.3210;0;19:30;02.03.2019
88;0.3190;0;20:00;02.03.2019
89;0.2870;0;20:30;02.03.2019
90;0.2840;0;21:00;02.03.2019
91;0.2270;0;21:30;02.03.2019
92;0.2320;0;22:00;02.03.2019
93;0.1980;0;22:30;02.03.2019
94;0.1990;0;23:00;02.03.2019
