№;P+, кВт;Q+, квар;Время;Дата
1;0.3750;0.0740;00:30;01.03.2019
2;0.3750;0.0730;01:00;01.03.2019
3;0.3760;0.0750;01:30;01.03.2019
4;0.3770;0.0740;02:00;01.03.2019
5;0.3970;0.0760;02:30;01.03.2019
6;0.3960;0.0750;03:00;01.03.2019
7;0.3930;0.0750;03:30;01.03.2019
8;0.3930;0.0740;04:00;01.03.2019
9;0.3930;0.0750;04:30;01.03.2019
10;0.3930;0.0740;05:00;01.03.2019
11;0.3920;0.0740;05:30;01.03.2019
12;0.3980;0.0770;06:00;01.03.2019
13;0.4020;0.0760;06:30;01.03.2019
14;0.4000;0.0750;07:00;01.03.2019
15;0.3940;0.0710;07:30;01.03.2019
16;0.2730;0.0030;08:00;01.03.2019
17;0.2540;0;08:30;01.03.2019
18;0.2570;0;09:00;01.03.2019
19;0.2550;0;09:30;01.03.2019
20;0.2460;0;10:00;01.03.2019
21;0.2490;0;10:30;01.03.2019
22;0.2570;0;11:00;01.03.2019
23;0.2650;0;11:30;01.03.2019
24;0.2640;0;12:00;01.03.2019
25;0.2630;0;12:30;01.03.2019
26;0.2620;0;13:00;01.03.2019
27;0.2630;0;13:30;01.03.2019
28;0.2640;0;14:00;01.03.2019
29;0.2590;0;14:30;01.03.2019
30;0.2590;0;15:00;01.03.2019
31;0.2540;0;15:30;01.03.2019
32;0.2540;0;16:00;01.03.2019
33;0.2720;0;16:30;01.03.2019
34;0.2730;0;17:00;01.03.2019
35;0.2710;0;17:30;01.03.2019
36;0.2750;0;18:00;01.03.2019
37;0.3000;0.0100;18:30;01.03.2019
38;0.4420;0.0750;19:00;01.03.2019
39;0.4510;0.0770;19:30;01.03.2019
40;0.4700;0.0770;20:00;01.03.2019
41;0.4710;0.0770;20:30;01.03.2019
42;0.4710;0.0740;21:00;01.03.2019
43;0.4710;0.0740;21:30;01.03.2019
44;0.4660;0.0760;22:00;01.03.2019
45;0.4470;0.0780;22:30;01.03.2019
46;0.4500;0.0770;23:00;01.03.2019
47;0.4600;0.0730;23:30;01.03.2019
48;0.4520;0.0720;00:00;02.03.2019
49;0.4390;0.0700;00:30;02.03.2019
50;0.4320;0.0710;01:00;02.03.2019
51;0.4230;0.0720;01:30;02.03.2019
52;0.3960;0.0730;02:00;02.03.2019
53;0.3950;0.0740;02:30;02.03.2019
54;0.3920;0.0730;03:00;02.03.2019
55;0.3930;0.0720;03:30;02.03.2019
56;0.3920;0.0730;04:00;02.03.2019
57;0.4100;0.0730;04:30;02.03.2019
